NAME     READY   STATUS             RESTARTS        AGE     IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running            0               10m     128.110.220.103   proxy-0   <none>           <none>
gnb-0    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-10   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-11   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-12   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-13   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-14   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-15   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-16   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-17   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-18   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-19   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-2    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-20   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-21   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-22   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-23   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-24   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-25   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-26   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-27   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-28   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-29   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-3    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-30   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-31   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-32   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-33   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-34   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-35   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-36   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-37   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-38   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-39   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-4    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-40   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-41   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-42   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-43   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-44   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-45   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-46   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-47   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-48   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-49   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-5    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-50   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-51   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-52   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-53   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-54   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-55   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-56   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-57   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-58   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-59   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-6    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-60   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-61   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-62   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-63   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-64   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-65   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-66   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-67   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-68   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-69   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-7    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-70   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-71   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-72   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-73   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-74   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-75   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-76   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-77   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-78   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-79   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-8    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-80   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-81   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-82   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-83   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-84   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-85   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-86   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-87   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-88   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-89   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-9    1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-90   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-91   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-92   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-93   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-94   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-95   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-96   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-97   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-98   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
gnb-99   1/1     Running            0               10m     10.2.2.2          ins1vm    <none>           <none>
ue-0     2/2     Running            0               10m     10.244.1.43       ins1vm    <none>           <none>
ue-1     2/2     Running            0               10m     10.244.1.44       ins1vm    <none>           <none>
ue-10    2/2     Running            0               10m     10.244.1.55       ins1vm    <none>           <none>
ue-11    2/2     Running            0               10m     10.244.1.54       ins1vm    <none>           <none>
ue-12    2/2     Running            0               10m     10.244.1.56       ins1vm    <none>           <none>
ue-13    2/2     Running            0               10m     10.244.1.53       ins1vm    <none>           <none>
ue-14    2/2     Running            0               10m     10.244.1.51       ins1vm    <none>           <none>
ue-15    1/2     NotReady           5 (91s ago)     10m     10.244.1.66       ins1vm    <none>           <none>
ue-16    2/2     Running            0               10m     10.244.1.62       ins1vm    <none>           <none>
ue-17    2/2     Running            0               10m     10.244.1.68       ins1vm    <none>           <none>
ue-18    2/2     Running            0               10m     10.244.1.63       ins1vm    <none>           <none>
ue-19    2/2     Running            0               10m     10.244.1.71       ins1vm    <none>           <none>
ue-2     2/2     Running            0               10m     10.244.1.45       ins1vm    <none>           <none>
ue-20    2/2     Running            0               10m     10.244.1.70       ins1vm    <none>           <none>
ue-21    2/2     Running            0               10m     10.244.1.73       ins1vm    <none>           <none>
ue-22    2/2     Running            0               10m     10.244.1.72       ins1vm    <none>           <none>
ue-23    2/2     Running            0               10m     10.244.1.59       ins1vm    <none>           <none>
ue-24    1/2     CrashLoopBackOff   4 (85s ago)     10m     10.244.1.65       ins1vm    <none>           <none>
