Data plane is up
Running irtt
UE IP is 10.45.0.12
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=1.02s rd=114.4ms sd=905.8ms ipdv=n/a
seq=1 rtt=562.2ms rd=99.51ms sd=462.7ms ipdv=458ms
seq=2 rtt=916.6ms rd=85.46ms sd=831.2ms ipdv=354.4ms
seq=3 rtt=462.5ms rd=81.4ms sd=381.1ms ipdv=454.1ms
seq=4 rtt=1.02s rd=83.06ms sd=941.5ms ipdv=562.1ms
seq=5 rtt=1.35s rd=102.5ms sd=1.25s ipdv=326.2ms
seq=6 rtt=907.7ms rd=113.4ms sd=794.3ms ipdv=443.1ms
seq=7 rtt=1.38s rd=86.38ms sd=1.29s ipdv=472.6ms
seq=8 rtt=932.9ms rd=108.5ms sd=824.5ms ipdv=447.4ms
seq=9 rtt=1.42s rd=109.4ms sd=1.31s ipdv=488.3ms
seq=10 rtt=951.8ms rd=99.56ms sd=852.3ms ipdv=469.4ms
seq=11 rtt=518.7ms rd=78.9ms sd=439.8ms ipdv=433.2ms
seq=12 rtt=1.09s rd=126.1ms sd=959.9ms ipdv=567.3ms
seq=13 rtt=637.7ms rd=97.25ms sd=540.4ms ipdv=448.3ms
seq=14 rtt=1.11s rd=118.6ms sd=994.7ms ipdv=475.8ms
seq=15 rtt=670.6ms rd=92.67ms sd=577.9ms ipdv=442.9ms
seq=16 rtt=1.24s rd=137.8ms sd=1.1s ipdv=567.9ms
seq=17 rtt=792.5ms rd=103.4ms sd=689.1ms ipdv=446ms
seq=18 rtt=1.21s rd=119ms sd=1.09s ipdv=413.3ms
seq=19 rtt=736.2ms rd=72.23ms sd=664ms ipdv=469.6ms
seq=20 rtt=1.29s rd=124.4ms sd=1.17s ipdv=557.3ms
seq=21 rtt=1.3s rd=90.5ms sd=1.21s ipdv=2.5ms
seq=22 rtt=1.31s rd=109.9ms sd=1.21s ipdv=19ms
seq=23 rtt=815ms rd=109.9ms sd=705.1ms ipdv=499.9ms
seq=24 rtt=1.41s rd=118.1ms sd=1.29s ipdv=596.6ms
seq=25 rtt=972.8ms rd=93.86ms sd=879ms ipdv=438.8ms
seq=26 rtt=1.39s rd=100.3ms sd=1.29s ipdv=419.8ms
seq=27 rtt=971.4ms rd=59.08ms sd=912.4ms ipdv=421.2ms
seq=28 rtt=1.43s rd=183.3ms sd=1.25s ipdv=460.6ms
seq=29 rtt=1.04s rd=189.5ms sd=846.2ms ipdv=396.3ms
seq=30 rtt=1.49s rd=101.4ms sd=1.38s ipdv=449.6ms
seq=31 rtt=1.05s rd=110.5ms sd=943.8ms ipdv=431.1ms
seq=32 rtt=1.04s rd=141.8ms sd=899.5ms ipdv=12.96ms
seq=33 rtt=1.05s rd=162.2ms sd=890ms ipdv=10.9ms
seq=34 rtt=703.6ms rd=132.3ms sd=571.3ms ipdv=348.6ms
seq=35 rtt=1.16s rd=100.4ms sd=1.06s ipdv=453.5ms
seq=36 rtt=723.5ms rd=123ms sd=600.5ms ipdv=433.6ms
seq=37 rtt=1.29s rd=119.3ms sd=1.17s ipdv=564.3ms
seq=38 rtt=889.6ms rd=160.6ms sd=729.1ms ipdv=398.2ms
seq=39 rtt=1.4s rd=147ms sd=1.25s ipdv=509.9ms
seq=40 rtt=957.7ms rd=98.35ms sd=859.3ms ipdv=441.9ms
seq=41 rtt=1.55s rd=124.1ms sd=1.43s ipdv=596.5ms
seq=42 rtt=1.14s rd=159.6ms sd=980.5ms ipdv=414.1ms
seq=43 rtt=1.71s rd=188.7ms sd=1.52s ipdv=567.9ms
seq=44 rtt=1.29s rd=57.89ms sd=1.23s ipdv=422.8ms
seq=45 rtt=1.87s rd=127.9ms sd=1.74s ipdv=585.6ms
seq=46 rtt=1.41s rd=88.23ms sd=1.32s ipdv=461.1ms
seq=47 rtt=4.26s rd=111.6ms sd=4.15s ipdv=2.85s
seq=48 rtt=3.76s rd=111.6ms sd=3.65s ipdv=500.6ms
seq=49 rtt=3.26s rd=111.6ms sd=3.15s ipdv=500.2ms
seq=50 rtt=2.76s rd=111.6ms sd=2.65s ipdv=499.6ms
seq=51 rtt=2.32s rd=110.8ms sd=2.21s ipdv=439.5ms
seq=52 rtt=1.82s rd=110.7ms sd=1.71s ipdv=500.7ms
seq=53 rtt=2.48s rd=140.2ms sd=2.34s ipdv=659.9ms
seq=54 rtt=2.04s rd=111.8ms sd=1.93s ipdv=437.8ms
seq=55 rtt=2.64s rd=156.5ms sd=2.49s ipdv=601.6ms
seq=56 rtt=2.24s rd=163.5ms sd=2.07s ipdv=406ms
seq=57 rtt=5.12s rd=135.7ms sd=4.98s ipdv=2.88s
seq=58 rtt=4.62s rd=135.7ms sd=4.49s ipdv=499.5ms
seq=59 rtt=4.12s rd=135.6ms sd=3.98s ipdv=500.4ms
seq=60 rtt=3.62s rd=135.6ms sd=3.49s ipdv=499.7ms
seq=61 rtt=3.2s rd=132.5ms sd=3.06s ipdv=423.9ms
seq=62 rtt=3.19s rd=122.8ms sd=3.07s ipdv=2.96ms
seq=63 rtt=3.23s rd=123.6ms sd=3.11s ipdv=39.25ms
seq=64 rtt=2.73s rd=123.6ms sd=2.61s ipdv=499.3ms
seq=65 rtt=2.3s rd=141.3ms sd=2.16s ipdv=433.5ms
seq=66 rtt=1.84s rd=91.1ms sd=1.75s ipdv=455.6ms
seq=67 rtt=2.48s rd=144.7ms sd=2.34s ipdv=638.1ms
seq=68 rtt=2.07s rd=149.4ms sd=1.92s ipdv=415.9ms
seq=69 rtt=2.63s rd=108ms sd=2.52s ipdv=561ms
seq=70 rtt=2.2s rd=124.8ms sd=2.08s ipdv=425.5ms
seq=71 rtt=2.1s rd=53.58ms sd=2.05s ipdv=98.1ms
seq=72 rtt=2.37s rd=145ms sd=2.22s ipdv=262.4ms
seq=73 rtt=1.92s rd=111.4ms sd=1.81s ipdv=446.1ms
seq=74 rtt=2.53s rd=113.8ms sd=2.42s ipdv=612.8ms
seq=75 rtt=2.1s rd=134.5ms sd=1.97s ipdv=428.7ms
seq=76 rtt=2.79s rd=162.4ms sd=2.63s ipdv=684.7ms
seq=77 rtt=2.35s rd=105.6ms sd=2.24s ipdv=440.8ms
seq=78 rtt=2.97s rd=140.5ms sd=2.83s ipdv=622.1ms
seq=79 rtt=2.54s rd=133.5ms sd=2.41s ipdv=429.6ms
seq=80 rtt=3.24s rd=166ms sd=3.08s ipdv=700.6ms
seq=81 rtt=2.82s rd=160.3ms sd=2.66s ipdv=421.8ms
seq=82 rtt=2.32s rd=160.3ms sd=2.16s ipdv=499.4ms
seq=83 rtt=2.9s rd=89.92ms sd=2.81s ipdv=577.3ms
seq=84 rtt=2.44s rd=114.3ms sd=2.32s ipdv=460.2ms
seq=85 rtt=3.09s rd=131.1ms sd=2.96s ipdv=654.5ms
seq=86 rtt=2.71s rd=94.57ms sd=2.61s ipdv=384.6ms
seq=87 rtt=3.23s rd=121.5ms sd=3.11s ipdv=525.6ms
seq=88 rtt=2.8s rd=108.4ms sd=2.69s ipdv=435.2ms
seq=89 rtt=2.82s rd=183ms sd=2.63s ipdv=19ms
seq=90 rtt=3s rd=182.3ms sd=2.82s ipdv=183.6ms
seq=91 rtt=2.55s rd=79.92ms sd=2.47s ipdv=453.5ms
seq=92 rtt=3.14s rd=92.5ms sd=3.04s ipdv=589.3ms
seq=93 rtt=2.73s rd=148.7ms sd=2.59s ipdv=402ms
seq=94 rtt=3.27s rd=169.6ms sd=3.1s ipdv=539ms
seq=95 rtt=2.87s rd=158.7ms sd=2.71s ipdv=403.9ms
seq=96 rtt=2.42s rd=130.4ms sd=2.29s ipdv=445.2ms
seq=97 rtt=2.98s rd=115.5ms sd=2.87s ipdv=557.9ms
seq=98 rtt=2.56s rd=127.9ms sd=2.43s ipdv=420.1ms
seq=99 rtt=3.23s rd=132ms sd=3.1s ipdv=665ms
seq=100 rtt=2.87s rd=189.2ms sd=2.68s ipdv=358.4ms
seq=101 rtt=2.7s rd=79.02ms sd=2.62s ipdv=165ms
seq=102 rtt=2.91s rd=159.3ms sd=2.75s ipdv=204.9ms
seq=103 rtt=2.45s rd=127.8ms sd=2.32s ipdv=458.7ms
seq=104 rtt=3.08s rd=126.5ms sd=2.96s ipdv=633.1ms
seq=105 rtt=2.66s rd=133.1ms sd=2.53s ipdv=423.2ms
seq=106 rtt=3.26s rd=134.5ms sd=3.12s ipdv=599ms
seq=107 rtt=2.85s rd=115.4ms sd=2.73s ipdv=412.1ms
seq=108 rtt=2.79s rd=129.4ms sd=2.66s ipdv=53.1ms
seq=109 rtt=2.99s rd=125.2ms sd=2.86s ipdv=192.2ms
seq=110 rtt=2.6s rd=134.5ms sd=2.47s ipdv=386ms
seq=111 rtt=3.25s rd=164.6ms sd=3.09s ipdv=651.8ms
seq=112 rtt=2.81s rd=144.2ms sd=2.67s ipdv=440.7ms
seq=113 rtt=5.92s rd=167ms sd=5.75s ipdv=3.1s
seq=114 rtt=5.41s rd=166.9ms sd=5.25s ipdv=500.6ms
seq=115 rtt=4.92s rd=167ms sd=4.75s ipdv=499.5ms
seq=116 rtt=4.42s rd=166.9ms sd=4.25s ipdv=500.1ms
seq=117 rtt=3.92s rd=166.9ms sd=3.75s ipdv=499.6ms
seq=118 rtt=3.47s rd=111.1ms sd=3.36s ipdv=446.4ms
seq=119 rtt=2.97s rd=111.1ms sd=2.86s ipdv=500.7ms
seq=120 rtt=3.55s rd=135ms sd=3.42s ipdv=584.9ms
seq=121 rtt=3.13s rd=104.3ms sd=3.02s ipdv=427.2ms
seq=122 rtt=3.84s rd=109ms sd=3.73s ipdv=716ms
seq=123 rtt=4.45s rd=142.1ms sd=4.31s ipdv=607.7ms
seq=124 rtt=3.95s rd=142.2ms sd=3.81s ipdv=500.5ms
seq=125 rtt=3.51s rd=113.2ms sd=3.4s ipdv=438.9ms
seq=126 rtt=4.16s rd=77.64ms sd=4.08s ipdv=651.5ms
seq=127 rtt=3.72s rd=115.2ms sd=3.61s ipdv=441.9ms
seq=128 rtt=4.37s rd=124.2ms sd=4.24s ipdv=644.8ms
seq=129 rtt=3.93s rd=105.1ms sd=3.82s ipdv=438ms
seq=130 rtt=4.6s rd=149.6ms sd=4.45s ipdv=670.8ms
seq=131 rtt=4.15s rd=93.36ms sd=4.06s ipdv=447ms
seq=132 rtt=4.11s rd=97.02ms sd=4.01s ipdv=45.1ms
seq=133 rtt=4.15s rd=76.72ms sd=4.07s ipdv=41.75ms
seq=134 rtt=3.65s rd=76.67ms sd=3.57s ipdv=501.1ms
seq=135 rtt=3.22s rd=77.87ms sd=3.14s ipdv=428.1ms
seq=136 rtt=2.77s rd=105.2ms sd=2.67s ipdv=443.9ms
seq=137 rtt=3.41s rd=132ms sd=3.28s ipdv=636.8ms
seq=138 rtt=2.98s rd=100.9ms sd=2.88s ipdv=428.9ms
seq=139 rtt=3.54s rd=112.7ms sd=3.43s ipdv=562.1ms
seq=140 rtt=3.17s rd=117.6ms sd=3.05s ipdv=379.5ms
seq=141 rtt=3.82s rd=142.5ms sd=3.67s ipdv=651.8ms
seq=142 rtt=3.37s rd=114.4ms sd=3.25s ipdv=448.8ms
seq=143 rtt=3.97s rd=124.4ms sd=3.85s ipdv=602.2ms
seq=144 rtt=3.47s rd=124.4ms sd=3.35s ipdv=499.6ms
seq=145 rtt=3.05s rd=173.8ms sd=2.87s ipdv=423.1ms
seq=146 rtt=3.72s rd=162ms sd=3.56s ipdv=677.1ms
seq=147 rtt=3.34s rd=173.9ms sd=3.16s ipdv=387.5ms
seq=148 rtt=3.96s rd=149.1ms sd=3.81s ipdv=620.4ms
seq=149 rtt=3.52s rd=138.6ms sd=3.38s ipdv=436.8ms
seq=150 rtt=4.14s rd=128.7ms sd=4.01s ipdv=622.7ms
seq=151 rtt=3.73s rd=118.2ms sd=3.61s ipdv=417.6ms
seq=152 rtt=4.3s rd=126.5ms sd=4.17s ipdv=575.8ms
seq=153 rtt=3.86s rd=93.14ms sd=3.76s ipdv=444.4ms
seq=154 rtt=3.36s rd=93.15ms sd=3.26s ipdv=499.6ms
seq=155 rtt=4.02s rd=158.7ms sd=3.86s ipdv=665.9ms
seq=156 rtt=3.58s rd=119.1ms sd=3.46s ipdv=441.2ms
seq=157 rtt=4.16s rd=126.7ms sd=4.03s ipdv=578.3ms
seq=158 rtt=3.72s rd=90.56ms sd=3.63s ipdv=442ms
seq=159 rtt=4.36s rd=131.5ms sd=4.23s ipdv=642.9ms
seq=160 rtt=3.93s rd=116ms sd=3.81s ipdv=432.5ms
seq=161 rtt=4.54s rd=131.1ms sd=4.41s ipdv=613.1ms
seq=162 rtt=4.11s rd=115ms sd=3.99s ipdv=434.4ms
seq=163 rtt=4.08s rd=75.32ms sd=4s ipdv=32.3ms
seq=164 rtt=3.57s rd=75.33ms sd=3.5s ipdv=500.7ms
seq=165 rtt=3.69s rd=167.4ms sd=3.52s ipdv=111.9ms
seq=166 rtt=3.27s rd=166.9ms sd=3.11s ipdv=411.7ms
seq=167 rtt=2.84s rd=132.4ms sd=2.71s ipdv=433.6ms
seq=168 rtt=3.5s rd=132.8ms sd=3.37s ipdv=659.4ms
seq=169 rtt=3.09s rd=141.7ms sd=2.95s ipdv=405.8ms
seq=170 rtt=3.74s rd=164.7ms sd=3.57s ipdv=644.1ms
seq=171 rtt=3.31s rd=122.7ms sd=3.18s ipdv=431.3ms
seq=172 rtt=3.94s rd=132.2ms sd=3.81s ipdv=634.7ms
seq=173 rtt=3.51s rd=143ms sd=3.37s ipdv=430.7ms
seq=174 rtt=3.4s rd=67.56ms sd=3.34s ipdv=106.7ms
seq=175 rtt=3.67s rd=133.7ms sd=3.53s ipdv=260.5ms
seq=176 rtt=3.27s rd=153.2ms sd=3.11s ipdv=397.7ms
seq=177 rtt=3.85s rd=133.7ms sd=3.71s ipdv=580.8ms
seq=178 rtt=3.41s rd=123ms sd=3.29s ipdv=433.7ms
seq=179 rtt=4.07s rd=131.1ms sd=3.93s ipdv=650.9ms
seq=180 rtt=3.67s rd=86.72ms sd=3.59s ipdv=390.6ms
seq=181 rtt=4.24s rd=124.9ms sd=4.11s ipdv=560.6ms
seq=182 rtt=3.8s rd=133ms sd=3.67s ipdv=433ms
seq=183 rtt=4.53s rd=199.9ms sd=4.33s ipdv=725.9ms
seq=184 rtt=4.07s rd=173.3ms sd=3.9s ipdv=457.4ms
seq=185 rtt=3.57s rd=173.3ms sd=3.4s ipdv=500.1ms
seq=186 rtt=4.16s rd=127.1ms sd=4.03s ipdv=590.3ms
seq=187 rtt=3.72s rd=108.2ms sd=3.62s ipdv=437.9ms
seq=188 rtt=4.47s rd=208.2ms sd=4.26s ipdv=747.4ms
seq=189 rtt=4.01s rd=103.3ms sd=3.91s ipdv=456.6ms
seq=190 rtt=4.57s rd=128.5ms sd=4.44s ipdv=552.9ms
seq=191 rtt=4.13s rd=112.6ms sd=4.01s ipdv=439.7ms
seq=192 rtt=4.12s rd=74.86ms sd=4.04s ipdv=9.71ms
seq=193 rtt=4.23s rd=169.6ms sd=4.06s ipdv=115.8ms
seq=194 rtt=3.73s rd=169.6ms sd=3.56s ipdv=500.6ms
seq=195 rtt=3.31s rd=142.5ms sd=3.17s ipdv=425.2ms
seq=196 rtt=2.86s rd=108.3ms sd=2.76s ipdv=442.9ms
seq=197 rtt=3.45s rd=124.6ms sd=3.33s ipdv=588.5ms
seq=198 rtt=3.02s rd=109.6ms sd=2.92s ipdv=428.6ms
seq=199 rtt=3.72s rd=169.6ms sd=3.55s ipdv=693.1ms
seq=200 rtt=3.3s rd=189.3ms sd=3.11s ipdv=421.5ms
seq=201 rtt=3.84s rd=129.1ms sd=3.71s ipdv=544ms
seq=202 rtt=3.42s rd=136.2ms sd=3.29s ipdv=415.3ms
seq=203 rtt=4.05s rd=126ms sd=3.92s ipdv=623.2ms
seq=204 rtt=3.55s rd=126ms sd=3.42s ipdv=499.2ms
seq=205 rtt=3.11s rd=95.39ms sd=3.01s ipdv=439.8ms
seq=206 rtt=3.72s rd=105.1ms sd=3.61s ipdv=610ms
seq=207 rtt=3.3s rd=114.8ms sd=3.18s ipdv=420ms
seq=208 rtt=3.94s rd=117.1ms sd=3.82s ipdv=641.2ms
seq=209 rtt=3.52s rd=116.1ms sd=3.4s ipdv=420.2ms
seq=210 rtt=4.1s rd=121.4ms sd=3.98s ipdv=579ms
