NAME     READY   STATUS    RESTARTS   AGE     IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running   0          3m2s    128.110.220.103   proxy-0   <none>           <none>
gnb-0    1/1     Running   0          3m      10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running   0          3m      10.2.2.2          ins1vm    <none>           <none>
gnb-2    1/1     Running   0          3m      10.2.2.2          ins1vm    <none>           <none>
gnb-3    1/1     Running   0          3m      10.2.2.2          ins1vm    <none>           <none>
gnb-4    1/1     Running   0          3m      10.2.2.2          ins1vm    <none>           <none>
ue-0     2/2     Running   0          2m14s   10.244.1.170      ins1vm    <none>           <none>
ue-1     2/2     Running   0          2m14s   10.244.1.171      ins1vm    <none>           <none>
ue-2     2/2     Running   0          2m14s   10.244.1.169      ins1vm    <none>           <none>
ue-3     2/2     Running   0          2m14s   10.244.1.173      ins1vm    <none>           <none>
ue-4     2/2     Running   0          2m14s   10.244.1.172      ins1vm    <none>           <none>
