Data plane is up
Running irtt
UE IP is 10.45.0.117
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.83ms rd=-13m52s sd=13m52s ipdv=n/a
seq=1 rtt=23.36ms rd=-14m51s sd=14m51s ipdv=470µs
seq=2 rtt=20.86ms rd=-15m48s sd=15m48s ipdv=2.49ms
seq=3 rtt=21.12ms rd=-16m47s sd=16m47s ipdv=255µs
seq=4 rtt=18.84ms rd=-17m44s sd=17m44s ipdv=2.27ms
seq=5 rtt=16.66ms rd=-18m41s sd=18m41s ipdv=2.18ms
seq=6 rtt=15.11ms rd=-19m38s sd=19m38s ipdv=1.55ms
seq=7 rtt=13.71ms rd=-20m35s sd=20m35s ipdv=1.4ms
seq=8 rtt=11.66ms rd=-21m32s sd=21m32s ipdv=2.06ms
seq=9 rtt=11.14ms rd=-22m29s sd=22m29s ipdv=520µs
seq=10 rtt=30.11ms rd=-23m28s sd=23m29s ipdv=18.98ms
seq=11 rtt=28.55ms rd=-24m25s sd=24m25s ipdv=1.57ms
seq=12 rtt=26.77ms rd=-25m22s sd=25m22s ipdv=1.78ms
seq=13 rtt=25.55ms rd=-26m19s sd=26m19s ipdv=1.22ms
seq=14 rtt=22.8ms rd=-27m16s sd=27m16s ipdv=2.75ms
seq=15 rtt=20.66ms rd=-28m13s sd=28m13s ipdv=2.14ms
seq=16 rtt=18.7ms rd=-29m10s sd=29m10s ipdv=1.96ms
seq=17 rtt=17.19ms rd=-30m7s sd=30m7s ipdv=1.51ms
seq=18 rtt=16.75ms rd=-31m5s sd=31m5s ipdv=447µs
seq=19 rtt=15.29ms rd=-32m4s sd=32m4s ipdv=1.45ms
seq=20 rtt=14.88ms rd=-33m2s sd=33m2s ipdv=419µs
seq=21 rtt=14.08ms rd=-34m0s sd=34m0s ipdv=792µs
seq=22 rtt=14.07ms rd=-34m58s sd=34m58s ipdv=14.3µs
seq=23 rtt=13.31ms rd=-35m57s sd=35m57s ipdv=764µs
seq=24 rtt=13.13ms rd=-36m55s sd=36m55s ipdv=171µs
seq=25 rtt=12.09ms rd=-37m54s sd=37m54s ipdv=1.04ms
seq=26 rtt=11.94ms rd=-38m52s sd=38m52s ipdv=152µs
seq=27 rtt=10.91ms rd=-39m50s sd=39m50s ipdv=1.03ms
seq=28 rtt=10.28ms rd=-40m49s sd=40m49s ipdv=621µs
seq=29 rtt=10.42ms rd=-41m47s sd=41m47s ipdv=131µs
seq=30 rtt=12.25ms rd=-42m46s sd=42m46s ipdv=1.83ms
seq=31 rtt=12.35ms rd=-43m45s sd=43m45s ipdv=102µs
seq=32 rtt=11.94ms rd=-44m44s sd=44m44s ipdv=408µs
seq=33 rtt=11.43ms rd=-45m42s sd=45m42s ipdv=508µs
seq=34 rtt=11.88ms rd=-46m41s sd=46m41s ipdv=447µs
seq=35 rtt=11.1ms rd=-47m40s sd=47m40s ipdv=778µs
seq=36 rtt=11.83ms rd=-48m39s sd=48m39s ipdv=730µs
seq=37 rtt=11.25ms rd=-49m38s sd=49m38s ipdv=582µs
seq=38 rtt=10.75ms rd=-50m36s sd=50m36s ipdv=502µs
seq=39 rtt=11.61ms rd=-51m35s sd=51m35s ipdv=864µs
seq=40 rtt=10.73ms rd=-52m34s sd=52m34s ipdv=887µs
seq=41 rtt=10.64ms rd=-53m33s sd=53m33s ipdv=89.2µs
seq=42 rtt=10.69ms rd=-54m32s sd=54m32s ipdv=56µs
seq=43 rtt=9.73ms rd=-55m30s sd=55m30s ipdv=958µs
seq=44 rtt=10.68ms rd=-56m29s sd=56m29s ipdv=948µs
seq=45 rtt=10.37ms rd=-57m28s sd=57m28s ipdv=311µs
seq=46 rtt=9.49ms rd=-58m26s sd=58m26s ipdv=881µs
seq=47 rtt=10.49ms rd=-59m25s sd=59m25s ipdv=997µs
seq=48 rtt=10.61ms rd=-1h0m24s sd=1h0m24s ipdv=126µs
seq=49 rtt=10.09ms rd=-1h1m22s sd=1h1m22s ipdv=520µs
seq=50 rtt=9.44ms rd=-1h2m21s sd=1h2m21s ipdv=658µs
seq=51 rtt=9.59ms rd=-1h3m20s sd=1h3m20s ipdv=158µs
seq=52 rtt=9.22ms rd=-1h4m19s sd=1h4m19s ipdv=369µs
seq=53 rtt=9.6ms rd=-1h5m17s sd=1h5m17s ipdv=375µs
seq=54 rtt=31.11ms rd=-1h6m18s sd=1h6m18s ipdv=21.51ms
seq=55 rtt=31.11ms rd=-1h7m17s sd=1h7m17s ipdv=179ns
