Data plane is up
Running irtt
UE IP is 10.45.0.60
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=1.3s rd=228.6ms sd=1.07s ipdv=n/a
seq=1 rtt=1.17s rd=226.2ms sd=939.7ms ipdv=130.1ms
seq=2 rtt=1.59s rd=266.7ms sd=1.32s ipdv=424.3ms
seq=3 rtt=1.49s rd=295.9ms sd=1.19s ipdv=100.4ms
seq=4 rtt=1.89s rd=211ms sd=1.68s ipdv=400.7ms
seq=5 rtt=1.69s rd=211ms sd=1.48s ipdv=200.4ms
seq=6 rtt=1.49s rd=211ms sd=1.28s ipdv=199.4ms
seq=7 rtt=1.38s rd=249.3ms sd=1.13s ipdv=111.9ms
seq=8 rtt=1.3s rd=275.2ms sd=1.03s ipdv=75.55ms
seq=9 rtt=1.43s rd=114.1ms sd=1.32s ipdv=130.7ms
seq=10 rtt=1.33s rd=164.3ms sd=1.16s ipdv=108.8ms
seq=11 rtt=1.79s rd=231.1ms sd=1.56s ipdv=464ms
seq=12 rtt=1.59s rd=228.8ms sd=1.36s ipdv=200.5ms
seq=13 rtt=1.52s rd=303.4ms sd=1.22s ipdv=68.05ms
seq=14 rtt=1.38s rd=254.3ms sd=1.13s ipdv=141ms
seq=15 rtt=1.18s rd=254.4ms sd=925.4ms ipdv=199.9ms
seq=16 rtt=1.31s rd=84.16ms sd=1.22s ipdv=126.7ms
seq=17 rtt=1.86s rd=222.5ms sd=1.64s ipdv=554.2ms
seq=18 rtt=1.66s rd=222.5ms sd=1.44s ipdv=200.4ms
seq=19 rtt=1.52s rd=217.1ms sd=1.3s ipdv=144.4ms
seq=20 rtt=1.7s rd=106.7ms sd=1.6s ipdv=186.7ms
seq=21 rtt=1.5s rd=106.7ms sd=1.4s ipdv=199.9ms
seq=22 rtt=1.37s rd=131.7ms sd=1.24s ipdv=128.1ms
seq=23 rtt=1.89s rd=264.5ms sd=1.62s ipdv=514.1ms
seq=24 rtt=1.69s rd=264.5ms sd=1.42s ipdv=200.4ms
seq=25 rtt=1.49s rd=264.5ms sd=1.22s ipdv=199.2ms
seq=26 rtt=1.43s rd=344.2ms sd=1.08s ipdv=61.25ms
seq=27 rtt=1.3s rd=340.1ms sd=956.3ms ipdv=131.7ms
seq=28 rtt=1.53s rd=140.3ms sd=1.39s ipdv=238ms
seq=29 rtt=1.33s rd=140.3ms sd=1.19s ipdv=199.8ms
seq=30 rtt=1.92s rd=278ms sd=1.65s ipdv=588.9ms
seq=31 rtt=1.83s rd=308.2ms sd=1.52s ipdv=96.45ms
seq=32 rtt=2.01s rd=121.8ms sd=1.89s ipdv=182.8ms
seq=33 rtt=1.81s rd=121.8ms sd=1.69s ipdv=200.2ms
seq=34 rtt=1.75s rd=212.7ms sd=1.54s ipdv=55.1ms
seq=35 rtt=1.56s rd=212.7ms sd=1.34s ipdv=199.3ms
seq=36 rtt=1.36s rd=212.6ms sd=1.14s ipdv=200ms
seq=37 rtt=1.76s rd=258.9ms sd=1.5s ipdv=402.3ms
seq=38 rtt=1.56s rd=258.9ms sd=1.3s ipdv=200.4ms
seq=39 rtt=1.46s rd=261.2ms sd=1.2s ipdv=94.3ms
seq=40 rtt=1.31s rd=242.5ms sd=1.07s ipdv=151.6ms
seq=41 rtt=1.53s rd=192.5ms sd=1.34s ipdv=223.4ms
seq=42 rtt=1.33s rd=192.5ms sd=1.14s ipdv=200.3ms
seq=43 rtt=1.19s rd=205.5ms sd=985.8ms ipdv=142.9ms
seq=44 rtt=1.51s rd=193.8ms sd=1.32s ipdv=320.1ms
seq=45 rtt=1.31s rd=193.9ms sd=1.12s ipdv=199.3ms
seq=46 rtt=1.17s rd=154ms sd=1.02s ipdv=141.6ms
seq=47 rtt=1.08s rd=232.3ms sd=844.8ms ipdv=93.4ms
seq=48 rtt=1.27s rd=154.2ms sd=1.12s ipdv=197.3ms
seq=49 rtt=1.14s rd=178.4ms sd=962.8ms ipdv=133.1ms
seq=50 rtt=1.54s rd=196ms sd=1.34s ipdv=399.5ms
seq=51 rtt=1.34s rd=195.9ms sd=1.14s ipdv=200.4ms
seq=52 rtt=1.27s rd=267.3ms sd=1.01s ipdv=67.25ms
seq=53 rtt=1.13s rd=259ms sd=875.8ms ipdv=138.4ms
seq=54 rtt=1.47s rd=203.3ms sd=1.26s ipdv=333.4ms
seq=55 rtt=1.27s rd=203.4ms sd=1.06s ipdv=200ms
seq=56 rtt=1.69s rd=254.9ms sd=1.43s ipdv=418.8ms
seq=57 rtt=1.49s rd=254.9ms sd=1.23s ipdv=199.3ms
seq=58 rtt=1.29s rd=191.4ms sd=1.1s ipdv=200.2ms
seq=59 rtt=1.14s rd=163.8ms sd=977.7ms ipdv=145.9ms
seq=60 rtt=1.35s rd=122.5ms sd=1.23s ipdv=210.7ms
seq=61 rtt=1.3s rd=217.6ms sd=1.08s ipdv=54.75ms
seq=62 rtt=1.69s rd=232.2ms sd=1.46s ipdv=390.6ms
seq=63 rtt=1.49s rd=232.2ms sd=1.26s ipdv=199.3ms
seq=64 rtt=1.29s rd=232.1ms sd=1.06s ipdv=200.3ms
seq=65 rtt=1.15s rd=221.5ms sd=924ms ipdv=143ms
seq=66 rtt=1s rd=169.1ms sd=831.1ms ipdv=145.3ms
seq=67 rtt=1.28s rd=133.4ms sd=1.14s ipdv=277.9ms
seq=68 rtt=1.62s rd=129.8ms sd=1.49s ipdv=344.2ms
seq=69 rtt=1.42s rd=129.8ms sd=1.29s ipdv=200.3ms
seq=70 rtt=1.36s rd=201.5ms sd=1.16s ipdv=64.5ms
seq=71 rtt=1.21s rd=178.5ms sd=1.03s ipdv=149ms
seq=72 rtt=1.01s rd=178.5ms sd=829.6ms ipdv=200.4ms
seq=73 rtt=1.32s rd=199.7ms sd=1.12s ipdv=308.4ms
seq=74 rtt=1.7s rd=227.7ms sd=1.48s ipdv=386.7ms
seq=75 rtt=1.5s rd=227.7ms sd=1.28s ipdv=199.4ms
seq=76 rtt=1.3s rd=227.7ms sd=1.08s ipdv=200.3ms
seq=77 rtt=1.16s rd=216.2ms sd=944.3ms ipdv=143.1ms
seq=78 rtt=1.07s rd=249.4ms sd=817.6ms ipdv=93.45ms
seq=79 rtt=1.89s rd=156.5ms sd=1.73s ipdv=818.7ms
seq=80 rtt=1.81s rd=214.2ms sd=1.6s ipdv=74.55ms
seq=81 rtt=1.66s rd=231.7ms sd=1.43s ipdv=146.7ms
seq=82 rtt=1.46s rd=231.7ms sd=1.23s ipdv=200.4ms
