NAME     READY   STATUS    RESTARTS   AGE     IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running   0          3m4s    128.110.219.125   proxy-0   <none>           <none>
gnb-0    1/1     Running   0          2m56s   10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running   0          2m56s   10.2.3.2          ins2vm    <none>           <none>
gnb-2    1/1     Running   0          2m56s   10.2.4.2          ins3vm    <none>           <none>
gnb-3    1/1     Running   0          2m56s   10.2.5.2          ins4vm    <none>           <none>
gnb-4    1/1     Running   0          2m56s   10.2.6.2          ins5vm    <none>           <none>
ue-0     2/2     Running   0          3m2s    10.244.4.5        ins34vm   <none>           <none>
ue-1     2/2     Running   0          3m2s    10.244.73.6       ins44vm   <none>           <none>
ue-2     2/2     Running   0          3m2s    10.244.8.5        ins2vm    <none>           <none>
ue-3     2/2     Running   0          3m2s    10.244.96.6       ins22vm   <none>           <none>
ue-4     2/2     Running   0          3m2s    10.244.68.5       ins25vm   <none>           <none>
