NAME     READY   STATUS    RESTARTS   AGE     IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running   0          2m40s   128.110.220.103   proxy-0   <none>           <none>
gnb-0    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-2    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-3    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-4    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-5    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-6    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-7    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-8    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
gnb-9    1/1     Running   0          2m38s   10.2.2.2          ins1vm    <none>           <none>
ue-0     2/2     Running   0          2m14s   10.244.1.174      ins1vm    <none>           <none>
ue-1     2/2     Running   0          2m14s   10.244.1.175      ins1vm    <none>           <none>
ue-2     2/2     Running   0          2m14s   10.244.1.176      ins1vm    <none>           <none>
ue-3     2/2     Running   0          2m14s   10.244.1.179      ins1vm    <none>           <none>
ue-4     2/2     Running   0          2m14s   10.244.1.182      ins1vm    <none>           <none>
ue-5     2/2     Running   0          2m14s   10.244.1.181      ins1vm    <none>           <none>
ue-6     2/2     Running   0          2m14s   10.244.1.180      ins1vm    <none>           <none>
ue-7     2/2     Running   0          2m14s   10.244.1.178      ins1vm    <none>           <none>
ue-8     2/2     Running   0          2m14s   10.244.1.183      ins1vm    <none>           <none>
ue-9     2/2     Running   0          2m14s   10.244.1.177      ins1vm    <none>           <none>
