NAME     READY   STATUS    RESTARTS       AGE     IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running   0              3m40s   128.110.220.103   proxy-0   <none>           <none>
gnb-0    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-10   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-11   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-12   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-13   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-14   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-15   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-16   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-17   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-18   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-19   1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-2    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-3    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-4    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-5    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-6    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-7    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-8    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
gnb-9    1/1     Running   0              3m36s   10.2.2.2          ins1vm    <none>           <none>
ue-0     2/2     Running   0              3m35s   10.244.1.195      ins1vm    <none>           <none>
ue-1     2/2     Running   0              3m35s   10.244.1.212      ins1vm    <none>           <none>
ue-10    2/2     Running   0              3m35s   10.244.1.196      ins1vm    <none>           <none>
ue-11    2/2     Running   0              3m35s   10.244.1.201      ins1vm    <none>           <none>
ue-12    2/2     Running   0              3m35s   10.244.1.204      ins1vm    <none>           <none>
ue-13    2/2     Running   0              3m35s   10.244.1.198      ins1vm    <none>           <none>
ue-14    2/2     Running   0              3m35s   10.244.1.202      ins1vm    <none>           <none>
ue-15    2/2     Running   0              3m35s   10.244.1.208      ins1vm    <none>           <none>
ue-16    2/2     Running   0              3m35s   10.244.1.207      ins1vm    <none>           <none>
ue-17    2/2     Running   0              3m35s   10.244.1.213      ins1vm    <none>           <none>
ue-18    2/2     Running   0              3m35s   10.244.1.210      ins1vm    <none>           <none>
ue-19    2/2     Running   0              3m35s   10.244.1.211      ins1vm    <none>           <none>
ue-2     2/2     Running   0              3m35s   10.244.1.197      ins1vm    <none>           <none>
ue-3     2/2     Running   0              3m35s   10.244.1.199      ins1vm    <none>           <none>
ue-4     2/2     Running   0              3m35s   10.244.1.200      ins1vm    <none>           <none>
ue-5     2/2     Running   0              3m35s   10.244.1.205      ins1vm    <none>           <none>
ue-6     2/2     Running   0              3m35s   10.244.1.206      ins1vm    <none>           <none>
ue-7     2/2     Running   1 (114s ago)   3m35s   10.244.1.209      ins1vm    <none>           <none>
ue-8     2/2     Running   0              3m35s   10.244.1.203      ins1vm    <none>           <none>
ue-9     2/2     Running   0              3m35s   10.244.1.194      ins1vm    <none>           <none>
