Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=357.4ms rd=15.72ms sd=341.6ms ipdv=n/a
seq=1 rtt=204.2ms rd=23.41ms sd=180.8ms ipdv=153.2ms
seq=2 rtt=454.3ms rd=45.04ms sd=409.2ms ipdv=250.1ms
seq=3 rtt=351.4ms rd=46.06ms sd=305.3ms ipdv=102.9ms
seq=4 rtt=211.9ms rd=26.41ms sd=185.4ms ipdv=139.6ms
seq=5 rtt=464.9ms rd=28.59ms sd=436.3ms ipdv=253.1ms
seq=6 rtt=353.9ms rd=20.32ms sd=333.5ms ipdv=111.1ms
seq=7 rtt=216.7ms rd=23.77ms sd=192.9ms ipdv=137.2ms
seq=8 rtt=453.5ms rd=20.69ms sd=432.8ms ipdv=236.8ms
seq=9 rtt=341.4ms rd=26.24ms sd=315.2ms ipdv=112.1ms
seq=10 rtt=198.1ms rd=19.31ms sd=178.8ms ipdv=143.3ms
seq=11 rtt=446.4ms rd=25.45ms sd=421ms ipdv=248.3ms
seq=12 rtt=368ms rd=51.84ms sd=316.1ms ipdv=78.45ms
seq=13 rtt=225.7ms rd=28.48ms sd=197.2ms ipdv=142.3ms
seq=14 rtt=522.4ms rd=36.24ms sd=486.1ms ipdv=296.7ms
seq=15 rtt=447.6ms rd=45.55ms sd=402ms ipdv=74.85ms
seq=16 rtt=365.8ms rd=48.07ms sd=317.7ms ipdv=81.75ms
seq=17 rtt=280.3ms rd=35.76ms sd=244.5ms ipdv=85.55ms
seq=18 rtt=176.3ms rd=20.37ms sd=155.9ms ipdv=104ms
seq=19 rtt=487.7ms rd=34.73ms sd=452.9ms ipdv=311.4ms
seq=20 rtt=405.9ms rd=39.61ms sd=366.3ms ipdv=81.75ms
seq=21 rtt=309.6ms rd=34.9ms sd=274.7ms ipdv=96.3ms
seq=22 rtt=225.7ms rd=46.96ms sd=178.7ms ipdv=83.91ms
seq=23 rtt=543.9ms rd=18.51ms sd=525.4ms ipdv=318.2ms
seq=24 rtt=466.5ms rd=40.71ms sd=425.8ms ipdv=77.4ms
seq=25 rtt=359.5ms rd=44.26ms sd=315.1ms ipdv=107.1ms
seq=26 rtt=291.9ms rd=44.31ms sd=247.6ms ipdv=67.6ms
seq=27 rtt=223.4ms rd=33.8ms sd=189.6ms ipdv=68.5ms
seq=28 rtt=621.6ms rd=56.28ms sd=565.3ms ipdv=398.3ms
seq=29 rtt=566ms rd=60.99ms sd=505ms ipdv=55.65ms
seq=30 rtt=506.9ms rd=38.24ms sd=468.7ms ipdv=59.05ms
seq=31 rtt=439.9ms rd=51.18ms sd=388.7ms ipdv=67.05ms
seq=32 rtt=409ms rd=63.68ms sd=345.3ms ipdv=30.86ms
seq=33 rtt=333.9ms rd=34.9ms sd=299ms ipdv=75.1ms
seq=34 rtt=291ms rd=28.85ms sd=262.2ms ipdv=42.9ms
seq=35 rtt=211ms rd=42.65ms sd=168.3ms ipdv=80ms
seq=36 rtt=599ms rd=40.06ms sd=559ms ipdv=388ms
seq=37 rtt=552.4ms rd=29.71ms sd=522.7ms ipdv=46.65ms
seq=38 rtt=481.4ms rd=42.11ms sd=439.3ms ipdv=71ms
seq=39 rtt=431.9ms rd=31.27ms sd=400.6ms ipdv=49.5ms
seq=40 rtt=394.6ms rd=48.88ms sd=345.7ms ipdv=37.3ms
seq=41 rtt=338.7ms rd=43.33ms sd=295.4ms ipdv=55.85ms
seq=42 rtt=266.8ms rd=33.27ms sd=233.5ms ipdv=71.9ms
seq=43 rtt=244.9ms rd=25.36ms sd=219.5ms ipdv=21.9ms
seq=44 rtt=621.3ms rd=41.6ms sd=579.7ms ipdv=376.4ms
seq=45 rtt=562.7ms rd=51.57ms sd=511.1ms ipdv=58.55ms
seq=46 rtt=523.1ms rd=57.34ms sd=465.7ms ipdv=39.66ms
seq=47 rtt=453.8ms rd=23.16ms sd=430.6ms ipdv=69.3ms
seq=48 rtt=405.9ms rd=41.79ms sd=364.1ms ipdv=47.85ms
seq=49 rtt=337.2ms rd=31.88ms sd=305.3ms ipdv=68.75ms
seq=50 rtt=320.5ms rd=56.88ms sd=263.6ms ipdv=16.7ms
seq=51 rtt=253.8ms rd=30.31ms sd=223.4ms ipdv=66.7ms
