NAME     READY   STATUS             RESTARTS        AGE   IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running            0               20m   128.110.220.103   proxy-0   <none>           <none>
gnb-0    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-10   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-11   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-12   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-13   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-14   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-15   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-16   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-17   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-18   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-19   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-2    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-20   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-21   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-22   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-23   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-24   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-25   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-26   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-27   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-28   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-29   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-3    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-30   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-31   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-32   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-33   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-34   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-35   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-36   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-37   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-38   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-39   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-4    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-40   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-41   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-42   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-43   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-44   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-45   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-46   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-47   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-48   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-49   1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-5    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-6    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-7    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-8    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
gnb-9    1/1     Running            0               20m   10.2.2.2          ins1vm    <none>           <none>
ue-0     2/2     Running            0               18m   10.244.1.246      ins1vm    <none>           <none>
ue-1     2/2     Running            0               18m   10.244.1.250      ins1vm    <none>           <none>
ue-10    2/2     Running            0               18m   10.244.1.253      ins1vm    <none>           <none>
ue-11    2/2     Running            0               18m   10.244.1.245      ins1vm    <none>           <none>
ue-12    2/2     Running            0               18m   10.244.1.7        ins1vm    <none>           <none>
ue-13    2/2     Running            0               18m   10.244.1.5        ins1vm    <none>           <none>
ue-14    2/2     Running            0               18m   10.244.1.254      ins1vm    <none>           <none>
ue-15    2/2     Running            0               18m   10.244.1.22       ins1vm    <none>           <none>
ue-16    2/2     Running            0               18m   10.244.1.16       ins1vm    <none>           <none>
ue-17    2/2     Running            0               18m   10.244.1.15       ins1vm    <none>           <none>
ue-18    2/2     Running            0               18m   10.244.1.12       ins1vm    <none>           <none>
ue-19    2/2     Running            0               18m   10.244.1.20       ins1vm    <none>           <none>
ue-2     2/2     Running            0               18m   10.244.1.247      ins1vm    <none>           <none>
ue-20    2/2     Running            0               18m   10.244.1.19       ins1vm    <none>           <none>
ue-21    2/2     Running            0               18m   10.244.1.13       ins1vm    <none>           <none>
ue-22    2/2     Running            0               18m   10.244.1.23       ins1vm    <none>           <none>
ue-23    2/2     Running            0               18m   10.244.1.10       ins1vm    <none>           <none>
ue-24    2/2     Running            0               18m   10.244.1.18       ins1vm    <none>           <none>
ue-25    2/2     Running            0               18m   10.244.1.9        ins1vm    <none>           <none>
ue-26    2/2     Running            0               18m   10.244.1.17       ins1vm    <none>           <none>
ue-27    2/2     Running            0               18m   10.244.1.11       ins1vm    <none>           <none>
ue-28    2/2     Running            0               18m   10.244.1.14       ins1vm    <none>           <none>
ue-29    1/2     CrashLoopBackOff   7 (4m48s ago)   18m   10.244.1.21       ins1vm    <none>           <none>
ue-3     1/2     CrashLoopBackOff   7 (4m48s ago)   18m   10.244.1.244      ins1vm    <none>           <none>
ue-30    1/2     CrashLoopBackOff   7 (4m42s ago)   18m   10.244.1.8        ins1vm    <none>           <none>
ue-31    2/2     Running            0               18m   10.244.1.31       ins1vm    <none>           <none>
ue-32    1/2     CrashLoopBackOff   7 (4m49s ago)   18m   10.244.1.37       ins1vm    <none>           <none>
