hecking tx_Data_request for 793365 times 
[44.0] Checking tx_Data_request for 793366 times 
[44.0] Checking tx_Data_request for 793367 times 
[44.0] Checking tx_Data_request for 793368 times 
[44.0] Checking tx_Data_request for 793369 times 
[44.0] Checking tx_Data_request for 793370 times 
[44.0] Checking tx_Data_request for 793371 times 
[44.0] Checking tx_Data_request for 793372 times 
[44.0] Checking tx_Data_request for 793373 times 
[44.0] Checking tx_Data_request for 793374 times 
[44.0] Checking tx_Data_request for 793375 times 
[44.0] Checking tx_Data_request for 793376 times 
[44.0] Checking tx_Data_request for 793377 times 
[44.0] Checking tx_Data_request for 793378 times 
[44.0] Checking tx_Data_request for 793379 times 
[44.0] Checking tx_Data_request for 793380 times 
[44.0] Checking tx_Data_request for 793381 times 
[44.0] Checking tx_Data_request for 793382 times 
[44.0] Checking tx_Data_request for 793383 times 
[44.0] Checking tx_Data_request for 793384 times 
[44.0] Checking tx_Data_request for 793385 times 
[44.0] Checking tx_Data_request for 793386 times 
[44.0] Checking tx_Data_request for 793387 times 
[44.0] Checking tx_Data_request for 793388 times 
[44.0] Checking tx_Data_request for 793389 times 
[44.0] Checking tx_Data_request for 793390 times 
[44.0] Checking tx_Data_request for 793391 times 
[44.0] Checking tx_Data_request for 793392 times 
[44.0] Checking tx_Data_request for 793393 times 
[44.0] Checking tx_Data_request for 793394 times 
[44.0] Checking tx_Data_request for 793395 times 
[44.0] Checking tx_Data_request for 793396 times 
[44.0] Checking tx_Data_request for 793397 times 
[44.0] Checking tx_Data_request for 793398 times 
[44.0] Checking tx_Data_request for 793399 times 
[44.0] Checking tx_Data_request for 793400 times 
[44.0] Checking tx_Data_request for 793401 times 
[44.0] Checking tx_Data_request for 793402 times 
[44.0] Checking tx_Data_request for 793403 times 
[44.0] Checking tx_Data_request for 793404 times 
[44.0] Checking tx_Data_request for 793405 times 
[44.0] Checking tx_Data_request for 793406 times 
[44.0] Checking tx_Data_request for 793407 times 
[44.0] Checking tx_Data_request for 793408 times 
[44.0] Checking tx_Data_request for 793409 times 
[44.0] Checking tx_Data_request for 793410 times 
[44.0] Checking tx_Data_request for 793411 times 
[44.0] Checking tx_Data_request for 793412 times 
[44.0] Checking tx_Data_request for 793413 times 
[44.0] Checking tx_Data_request for 793414 times 
[44.0] Checking tx_Data_request for 793415 times 
[44.0] Checking tx_Data_request for 793416 times 
[44.0] Checking tx_Data_request for 793417 times 
[44.0] Checking tx_Data_request for 793418 times 
[44.0] Checking tx_Data_request for 793419 times 
[44.0] Checking tx_Data_request for 793420 times 
[44.0] Checking tx_Data_request for 793421 times 
[44.0] Checking tx_Data_request for 793422 times 
[44.0] Checking tx_Data_request for 793423 times 
[44.0] Checking tx_Data_request for 793424 times 
[44.0] Checking tx_Data_request for 793425 times 
[44.0] Checking tx_Data_request for 793426 times 
[44.0] Checking tx_Data_request for 793427 times 
[44.0] Checking tx_Data_request for 793428 times 
[44.0] Checking tx_Data_request for 793429 times 
[44.0] Checking tx_Data_request for 793430 times 
[44.0] Checking tx_Data_request for 793431 times 
[44.0] Checking tx_Data_request for 793432 times 
[44.0] Checking tx_Data_request for 793433 times 
[44.0] Checking tx_Data_request for 793434 times 
