Data plane is up
Running irtt
UE IP is 10.45.0.84
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.96ms rd=-14m23s sd=14m23s ipdv=n/a
seq=1 rtt=23.1ms rd=-15m21s sd=15m21s ipdv=862µs
seq=2 rtt=20.94ms rd=-16m19s sd=16m19s ipdv=2.16ms
seq=3 rtt=21.03ms rd=-17m17s sd=17m17s ipdv=90.1µs
seq=4 rtt=19.03ms rd=-18m14s sd=18m14s ipdv=2ms
seq=5 rtt=17.99ms rd=-19m11s sd=19m11s ipdv=1.04ms
seq=6 rtt=15.53ms rd=-20m8s sd=20m8s ipdv=2.46ms
seq=7 rtt=13.64ms rd=-21m5s sd=21m5s ipdv=1.88ms
seq=8 rtt=11.97ms rd=-22m2s sd=22m2s ipdv=1.68ms
seq=9 rtt=9.9ms rd=-22m59s sd=22m59s ipdv=2.06ms
seq=10 rtt=9.38ms rd=-23m56s sd=23m56s ipdv=526µs
seq=11 rtt=28.72ms rd=-24m55s sd=24m55s ipdv=19.34ms
seq=12 rtt=27.58ms rd=-25m52s sd=25m52s ipdv=1.14ms
seq=13 rtt=24.82ms rd=-26m49s sd=26m49s ipdv=2.76ms
seq=14 rtt=23.77ms rd=-27m46s sd=27m46s ipdv=1.06ms
seq=15 rtt=20.6ms rd=-28m43s sd=28m43s ipdv=3.16ms
seq=16 rtt=18.99ms rd=-29m40s sd=29m40s ipdv=1.61ms
seq=17 rtt=17.89ms rd=-30m38s sd=30m38s ipdv=1.1ms
seq=18 rtt=18.06ms rd=-31m36s sd=31m36s ipdv=171µs
seq=19 rtt=16.83ms rd=-32m34s sd=32m34s ipdv=1.23ms
seq=20 rtt=16.97ms rd=-33m33s sd=33m33s ipdv=148µs
seq=21 rtt=15.89ms rd=-34m31s sd=34m31s ipdv=1.09ms
seq=22 rtt=15.8ms rd=-35m29s sd=35m29s ipdv=86.8µs
seq=23 rtt=15.14ms rd=-36m27s sd=36m27s ipdv=659µs
seq=24 rtt=15.76ms rd=-37m26s sd=37m26s ipdv=617µs
seq=25 rtt=15.08ms rd=-38m24s sd=38m24s ipdv=675µs
seq=26 rtt=14.05ms rd=-39m23s sd=39m23s ipdv=1.03ms
seq=27 rtt=13.49ms rd=-40m21s sd=40m21s ipdv=557µs
seq=28 rtt=13.01ms rd=-41m19s sd=41m19s ipdv=481µs
seq=29 rtt=13ms rd=-42m18s sd=42m18s ipdv=10.8µs
seq=30 rtt=13.25ms rd=-43m17s sd=43m17s ipdv=256µs
seq=31 rtt=12.58ms rd=-44m16s sd=44m16s ipdv=672µs
seq=32 rtt=12.48ms rd=-45m14s sd=45m14s ipdv=105µs
seq=33 rtt=13.29ms rd=-46m13s sd=46m13s ipdv=811µs
seq=34 rtt=12.29ms rd=-47m12s sd=47m12s ipdv=997µs
seq=35 rtt=12.23ms rd=-48m11s sd=48m11s ipdv=61.9µs
seq=36 rtt=12.21ms rd=-49m10s sd=49m10s ipdv=16.4µs
seq=37 rtt=12.46ms rd=-50m9s sd=50m9s ipdv=244µs
seq=38 rtt=13.05ms rd=-51m7s sd=51m7s ipdv=598µs
seq=39 rtt=12.28ms rd=-52m6s sd=52m6s ipdv=776µs
seq=40 rtt=12.54ms rd=-53m5s sd=53m5s ipdv=258µs
seq=41 rtt=11.88ms rd=-54m4s sd=54m4s ipdv=655µs
seq=42 rtt=12.19ms rd=-55m2s sd=55m2s ipdv=304µs
seq=43 rtt=11.41ms rd=-56m1s sd=56m1s ipdv=774µs
seq=44 rtt=11.14ms rd=-57m0s sd=57m0s ipdv=277µs
seq=45 rtt=11.17ms rd=-57m58s sd=57m58s ipdv=36.7µs
seq=46 rtt=11.23ms rd=-58m57s sd=58m57s ipdv=58.7µs
seq=47 rtt=10.66ms rd=-59m56s sd=59m56s ipdv=569µs
seq=48 rtt=10.09ms rd=-1h0m54s sd=1h0m54s ipdv=573µs
seq=49 rtt=10.27ms rd=-1h1m53s sd=1h1m53s ipdv=183µs
seq=50 rtt=9.82ms rd=-1h2m52s sd=1h2m52s ipdv=448µs
seq=51 rtt=9.53ms rd=-1h3m51s sd=1h3m51s ipdv=290µs
seq=52 rtt=9.59ms rd=-1h4m49s sd=1h4m49s ipdv=57.5µs
seq=53 rtt=9.43ms rd=-1h5m48s sd=1h5m48s ipdv=161µs
seq=54 rtt=9.33ms rd=-1h6m47s sd=1h6m47s ipdv=99.3µs
seq=55 rtt=9.47ms rd=-1h7m45s sd=1h7m45s ipdv=136µs
