Data plane is up
Running irtt
UE IP is 10.45.0.89
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=1.14s rd=156.4ms sd=979.2ms ipdv=n/a
seq=1 rtt=990.3ms rd=128.1ms sd=862.2ms ipdv=145.3ms
seq=2 rtt=1.32s rd=197.3ms sd=1.12s ipdv=328.8ms
seq=3 rtt=1.7s rd=191.9ms sd=1.5s ipdv=376.8ms
seq=4 rtt=1.5s rd=191.9ms sd=1.3s ipdv=199.4ms
seq=5 rtt=1.44s rd=272ms sd=1.16s ipdv=61.4ms
seq=6 rtt=1.31s rd=269.9ms sd=1.04s ipdv=129.9ms
seq=7 rtt=1.67s rd=239.6ms sd=1.43s ipdv=367.6ms
seq=8 rtt=1.47s rd=239.6ms sd=1.23s ipdv=200.4ms
seq=9 rtt=4.39s rd=139.1ms sd=4.25s ipdv=2.92s
seq=10 rtt=4.19s rd=139.1ms sd=4.05s ipdv=199.3ms
seq=11 rtt=3.99s rd=139.1ms sd=3.85s ipdv=200.4ms
seq=12 rtt=3.79s rd=139.1ms sd=3.65s ipdv=200.5ms
seq=13 rtt=3.59s rd=139.1ms sd=3.45s ipdv=199.1ms
seq=22 rtt=1.85s rd=123.7ms sd=1.73s ipdv=n/a
seq=23 rtt=2.08s rd=85.98ms sd=2s ipdv=234.1ms
seq=24 rtt=1.88s rd=85.96ms sd=1.8s ipdv=200.4ms
seq=25 rtt=1.85s rd=209.5ms sd=1.64s ipdv=33.4ms
seq=26 rtt=2.22s rd=194.6ms sd=2.02s ipdv=368.8ms
seq=27 rtt=2.02s rd=194.6ms sd=1.82s ipdv=200.4ms
seq=28 rtt=1.89s rd=199.5ms sd=1.69s ipdv=132.7ms
seq=29 rtt=1.75s rd=195.4ms sd=1.56s ipdv=134ms
seq=30 rtt=1.99s rd=95.24ms sd=1.9s ipdv=242.1ms
seq=31 rtt=1.79s rd=95.23ms sd=1.7s ipdv=199.4ms
seq=32 rtt=2.36s rd=183.4ms sd=2.18s ipdv=566.5ms
seq=33 rtt=2.71s rd=172.6ms sd=2.53s ipdv=346.5ms
seq=34 rtt=2.51s rd=172.6ms sd=2.33s ipdv=200ms
seq=35 rtt=2.31s rd=172.6ms sd=2.13s ipdv=200ms
seq=36 rtt=2.18s rd=218.1ms sd=1.96s ipdv=132.5ms
seq=37 rtt=2.57s rd=218.7ms sd=2.35s ipdv=393.2ms
seq=38 rtt=2.37s rd=218.7ms sd=2.15s ipdv=199.6ms
seq=39 rtt=2.33s rd=319.5ms sd=2.01s ipdv=42.05ms
seq=40 rtt=2.18s rd=263.2ms sd=1.91s ipdv=148.8ms
seq=41 rtt=2.36s rd=131.2ms sd=2.22s ipdv=177.5ms
seq=42 rtt=2.16s rd=131.2ms sd=2.02s ipdv=200.3ms
seq=43 rtt=2.63s rd=197.2ms sd=2.44s ipdv=477.9ms
seq=44 rtt=2.48s rd=174.3ms sd=2.31s ipdv=148.3ms
seq=45 rtt=2.8s rd=198.2ms sd=2.6s ipdv=310.5ms
seq=46 rtt=2.59s rd=198.3ms sd=2.4s ipdv=200.3ms
seq=47 rtt=2.39s rd=198.3ms sd=2.2s ipdv=199.9ms
seq=48 rtt=2.2s rd=198.2ms sd=2s ipdv=199.2ms
seq=49 rtt=2s rd=198.2ms sd=1.8s ipdv=200.4ms
seq=50 rtt=2.38s rd=155.2ms sd=2.23s ipdv=385.8ms
seq=51 rtt=2.24s rd=140.2ms sd=2.1s ipdv=142.8ms
seq=52 rtt=3.16s rd=115ms sd=3.05s ipdv=925.6ms
seq=53 rtt=3.06s rd=145.5ms sd=2.91s ipdv=105.8ms
seq=54 rtt=2.86s rd=145.6ms sd=2.71s ipdv=200.2ms
seq=55 rtt=3.16s rd=175.1ms sd=2.99s ipdv=302.9ms
seq=56 rtt=2.96s rd=175.1ms sd=2.79s ipdv=200.3ms
seq=57 rtt=3.43s rd=247.9ms sd=3.18s ipdv=466ms
seq=58 rtt=3.23s rd=247.9ms sd=2.98s ipdv=200.4ms
seq=59 rtt=3.08s rd=211.8ms sd=2.87s ipdv=143.7ms
seq=60 rtt=2.94s rd=162.2ms sd=2.77s ipdv=145.6ms
seq=61 rtt=3.17s rd=145.6ms sd=3.02s ipdv=229.3ms
seq=62 rtt=2.97s rd=145.6ms sd=2.82s ipdv=200.1ms
seq=63 rtt=3.4s rd=177.1ms sd=3.23s ipdv=437.8ms
seq=64 rtt=3.2s rd=177.1ms sd=3.03s ipdv=200.4ms
seq=65 rtt=3s rd=177.1ms sd=2.83s ipdv=199.2ms
seq=66 rtt=2.89s rd=154.1ms sd=2.73s ipdv=118.8ms
seq=67 rtt=2.75s rd=139.3ms sd=2.61s ipdv=132ms
seq=68 rtt=3.05s rd=171.6ms sd=2.88s ipdv=294ms
seq=69 rtt=2.93s rd=200.8ms sd=2.73s ipdv=113.2ms
seq=70 rtt=3.36s rd=263.4ms sd=3.1s ipdv=424.7ms
seq=71 rtt=3.16s rd=263.4ms sd=2.9s ipdv=199.7ms
seq=72 rtt=3.02s rd=265.4ms sd=2.76s ipdv=136.4ms
seq=73 rtt=2.88s rd=249.5ms sd=2.63s ipdv=142.6ms
seq=74 rtt=3.15s rd=180.7ms sd=2.97s ipdv=273.7ms
seq=75 rtt=3.02s rd=200.5ms sd=2.82s ipdv=132.2ms
seq=76 rtt=3.47s rd=259.2ms sd=3.21s ipdv=447.4ms
seq=77 rtt=3.27s rd=259.3ms sd=3.01s ipdv=200.3ms
seq=78 rtt=3.07s rd=206.1ms sd=2.86s ipdv=199.3ms
seq=79 rtt=2.99s rd=248.6ms sd=2.75s ipdv=76.05ms
seq=80 rtt=3.17s rd=108.5ms sd=3.06s ipdv=173.5ms
seq=81 rtt=2.97s rd=108.5ms sd=2.86s ipdv=199.6ms
seq=82 rtt=3.49s rd=196.9ms sd=3.29s ipdv=522.7ms
seq=83 rtt=3.29s rd=195.4ms sd=3.1s ipdv=199.3ms
seq=84 rtt=3.23s rd=276.3ms sd=2.95s ipdv=60.3ms
seq=85 rtt=3.09s rd=264.9ms sd=2.83s ipdv=137.3ms
seq=86 rtt=2.89s rd=264.9ms sd=2.63s ipdv=199.3ms
seq=87 rtt=3.13s rd=128.5ms sd=3s ipdv=233.1ms
seq=88 rtt=2.93s rd=128.4ms sd=2.8s ipdv=199.8ms
seq=89 rtt=3.42s rd=195.5ms sd=3.22s ipdv=490.9ms
seq=90 rtt=3.22s rd=195.5ms sd=3.02s ipdv=199.7ms
seq=91 rtt=3.13s rd=227.9ms sd=2.9s ipdv=88.25ms
seq=92 rtt=2.98s rd=212.4ms sd=2.77s ipdv=151.7ms
seq=93 rtt=3.27s rd=161.2ms sd=3.11s ipdv=289.4ms
seq=94 rtt=3.15s rd=113.7ms sd=3.03s ipdv=120ms
seq=95 rtt=3.51s rd=223.4ms sd=3.29s ipdv=361.4ms
seq=96 rtt=3.31s rd=223.4ms sd=3.09s ipdv=199.4ms
seq=97 rtt=3.11s rd=223.4ms sd=2.89s ipdv=200.4ms
