Data plane is up
Running irtt
UE IP is 10.45.0.12
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=18.1ms rd=-1.28s sd=1.29s ipdv=n/a
seq=1 rtt=17.45ms rd=-1.32s sd=1.34s ipdv=649µs
seq=2 rtt=17.5ms rd=-1.36s sd=1.38s ipdv=48.3µs
seq=3 rtt=17.7ms rd=-1.41s sd=1.43s ipdv=200µs
seq=4 rtt=17.75ms rd=-1.49s sd=1.51s ipdv=55.1µs
seq=5 rtt=17.5ms rd=-1.66s sd=1.68s ipdv=253µs
seq=6 rtt=17.96ms rd=-1.84s sd=1.86s ipdv=455µs
seq=7 rtt=18.7ms rd=-1.97s sd=1.98s ipdv=745µs
seq=8 rtt=18.65ms rd=-2.01s sd=2.03s ipdv=49.7µs
seq=9 rtt=18.59ms rd=-2.06s sd=2.08s ipdv=56.2µs
seq=10 rtt=18.65ms rd=-2.1s sd=2.12s ipdv=52.6µs
seq=11 rtt=18.65ms rd=-2.15s sd=2.17s ipdv=3.26µs
seq=12 rtt=18.85ms rd=-2.19s sd=2.21s ipdv=198µs
seq=13 rtt=18.6ms rd=-2.24s sd=2.26s ipdv=250µs
seq=14 rtt=18.7ms rd=-2.28s sd=2.3s ipdv=100µs
seq=15 rtt=18.6ms rd=-2.33s sd=2.34s ipdv=100µs
seq=16 rtt=18.5ms rd=-2.36s sd=2.37s ipdv=101µs
seq=17 rtt=18.65ms rd=-2.39s sd=2.41s ipdv=151µs
seq=18 rtt=18.45ms rd=-2.43s sd=2.45s ipdv=200µs
seq=19 rtt=18.45ms rd=-2.47s sd=2.49s ipdv=1.07µs
seq=20 rtt=18.45ms rd=-2.5s sd=2.52s ipdv=240ns
seq=21 rtt=18.75ms rd=-2.53s sd=2.55s ipdv=300µs
seq=22 rtt=18.8ms rd=-2.55s sd=2.57s ipdv=51.7µs
seq=23 rtt=18.65ms rd=-2.59s sd=2.61s ipdv=149µs
seq=24 rtt=18.8ms rd=-2.63s sd=2.65s ipdv=148µs
seq=25 rtt=18.69ms rd=-2.67s sd=2.69s ipdv=103µs
seq=26 rtt=18.6ms rd=-2.72s sd=2.74s ipdv=96.7µs
seq=27 rtt=18.6ms rd=-2.76s sd=2.78s ipdv=99ns
seq=28 rtt=18.8ms rd=-2.81s sd=2.83s ipdv=200µs
seq=29 rtt=19.5ms rd=-2.85s sd=2.87s ipdv=700µs
seq=30 rtt=19.6ms rd=-2.9s sd=2.92s ipdv=102µs
seq=31 rtt=19.8ms rd=-2.94s sd=2.96s ipdv=198µs
seq=32 rtt=19.6ms rd=-2.99s sd=3.01s ipdv=200µs
seq=33 rtt=19.55ms rd=-3.04s sd=3.06s ipdv=49.9µs
seq=34 rtt=19.75ms rd=-3.07s sd=3.09s ipdv=199µs
seq=35 rtt=19.5ms rd=-3.1s sd=3.12s ipdv=250µs
seq=36 rtt=19.55ms rd=-3.18s sd=3.2s ipdv=57.1µs
seq=37 rtt=19.5ms rd=-3.3s sd=3.32s ipdv=56.3µs
seq=38 rtt=19.75ms rd=-3.35s sd=3.37s ipdv=250µs
seq=39 rtt=19.65ms rd=-3.39s sd=3.41s ipdv=99.9µs
seq=40 rtt=19.7ms rd=-3.44s sd=3.46s ipdv=49.9µs
seq=41 rtt=20.5ms rd=-3.48s sd=3.5s ipdv=800µs
seq=42 rtt=20.46ms rd=-3.57s sd=3.59s ipdv=43.1µs
seq=43 rtt=20.7ms rd=-3.75s sd=3.77s ipdv=249µs
seq=44 rtt=20.85ms rd=-3.94s sd=3.96s ipdv=150µs
seq=45 rtt=20.9ms rd=-4.13s sd=4.15s ipdv=49.2µs
seq=46 rtt=20.45ms rd=-4.31s sd=4.33s ipdv=449µs
seq=47 rtt=20.65ms rd=-4.44s sd=4.46s ipdv=194µs
seq=48 rtt=21.41ms rd=-4.52s sd=4.54s ipdv=757µs
seq=49 rtt=20.85ms rd=-4.69s sd=4.71s ipdv=554µs
seq=50 rtt=21.65ms rd=-4.87s sd=4.9s ipdv=803µs
seq=51 rtt=21.6ms rd=-12.18ms sd=33.78ms ipdv=50.2µs
seq=52 rtt=21.46ms rd=-190.9ms sd=212.3ms ipdv=149µs
seq=53 rtt=21.66ms rd=-369.1ms sd=390.8ms ipdv=200µs
seq=54 rtt=22.71ms rd=-548.1ms sd=570.8ms ipdv=1.05ms
seq=55 rtt=22.7ms rd=-729.1ms sd=751.8ms ipdv=719ns
seq=56 rtt=22.85ms rd=-902.8ms sd=925.6ms ipdv=150µs
seq=57 rtt=22.95ms rd=-1.03s sd=1.05s ipdv=93.8µs
seq=58 rtt=22.75ms rd=-1.07s sd=1.1s ipdv=200µs
seq=59 rtt=22.55ms rd=-1.12s sd=1.14s ipdv=200µs
seq=60 rtt=22.55ms rd=-1.16s sd=1.19s ipdv=270ns
seq=61 rtt=22.4ms rd=-1.21s sd=1.23s ipdv=150µs
seq=62 rtt=22.55ms rd=-1.25s sd=1.28s ipdv=150µs
seq=63 rtt=22.4ms rd=-1.3s sd=1.32s ipdv=150µs
seq=64 rtt=22.55ms rd=-1.34s sd=1.37s ipdv=150µs
seq=65 rtt=23.4ms rd=-1.39s sd=1.41s ipdv=850µs
seq=66 rtt=22.5ms rd=-1.43s sd=1.46s ipdv=900µs
seq=67 rtt=22.95ms rd=-1.47s sd=1.5s ipdv=449µs
seq=68 rtt=22.7ms rd=-1.5s sd=1.52s ipdv=249µs
seq=69 rtt=23.55ms rd=-1.53s sd=1.55s ipdv=849µs
seq=70 rtt=22.85ms rd=-1.56s sd=1.58s ipdv=700µs
seq=71 rtt=23.59ms rd=-1.59s sd=1.61s ipdv=747µs
seq=72 rtt=22.9ms rd=-1.63s sd=1.65s ipdv=696µs
seq=73 rtt=23.05ms rd=-1.67s sd=1.7s ipdv=150µs
seq=74 rtt=23.55ms rd=-1.72s sd=1.74s ipdv=500µs
seq=75 rtt=23.55ms rd=-1.76s sd=1.78s ipdv=131ns
seq=76 rtt=23.55ms rd=-1.8s sd=1.82s ipdv=100ns
seq=77 rtt=23.5ms rd=-1.84s sd=1.87s ipdv=49.9µs
seq=78 rtt=23.6ms rd=-1.89s sd=1.91s ipdv=99.9µs
seq=79 rtt=23.65ms rd=-1.93s sd=1.96s ipdv=50µs
seq=80 rtt=23.5ms rd=-1.98s sd=2s ipdv=150µs
seq=81 rtt=23.5ms rd=-2.02s sd=2.04s ipdv=0s
seq=82 rtt=23.75ms rd=-2.05s sd=2.07s ipdv=249µs
seq=83 rtt=23.5ms rd=-2.07s sd=2.1s ipdv=250µs
seq=84 rtt=23.51ms rd=-2.14s sd=2.17s ipdv=8.92µs
seq=85 rtt=23.9ms rd=-2.33s sd=2.35s ipdv=398µs
seq=86 rtt=23.86ms rd=-2.51s sd=2.54s ipdv=49µs
seq=87 rtt=24.75ms rd=-2.64s sd=2.66s ipdv=893µs
seq=88 rtt=24.7ms rd=-2.68s sd=2.71s ipdv=48.2µs
seq=89 rtt=24.8ms rd=-2.73s sd=2.75s ipdv=98.3µs
seq=90 rtt=24.8ms rd=-2.77s sd=2.8s ipdv=0s
seq=91 rtt=24.5ms rd=-2.82s sd=2.84s ipdv=300µs
seq=92 rtt=24.84ms rd=-2.86s sd=2.88s ipdv=345µs
seq=93 rtt=24.7ms rd=-2.89s sd=2.92s ipdv=145µs
seq=94 rtt=24.55ms rd=-2.94s sd=2.96s ipdv=150µs
seq=95 rtt=24.75ms rd=-2.98s sd=3.01s ipdv=200µs
seq=96 rtt=24.4ms rd=-3.04s sd=3.06s ipdv=350µs
seq=97 rtt=24.55ms rd=-3.08s sd=3.11s ipdv=150µs
seq=98 rtt=24.55ms rd=-3.13s sd=3.15s ipdv=450ns
seq=99 rtt=24.65ms rd=-3.17s sd=3.2s ipdv=100µs
seq=100 rtt=24.7ms rd=-3.22s sd=3.24s ipdv=49.9µs
seq=101 rtt=24.55ms rd=-3.26s sd=3.29s ipdv=150µs
seq=102 rtt=24.45ms rd=-3.31s sd=3.33s ipdv=99.9µs
seq=103 rtt=24.6ms rd=-3.35s sd=3.38s ipdv=150µs
seq=104 rtt=24.51ms rd=-3.44s sd=3.46s ipdv=93.1µs
