Component 1 is at IP 10.1.2.1
Running global slot checker on 10.4.1.1:6000
Error: Numerical argument out of domain
Starting component 1
Elapsed: 1117436, Dilation factor: 1.12
New proxy connected: ID 0, IP 10.3.1.1:4322
Elapsed: 1125101, Dilation factor: 1.13
Elapsed: 1104489, Dilation factor: 1.10
Elapsed: 1107763, Dilation factor: 1.11
Elapsed: 1091413, Dilation factor: 1.09
Elapsed: 1100738, Dilation factor: 1.10
Elapsed: 1110386, Dilation factor: 1.11
Elapsed: 1113778, Dilation factor: 1.11
Elapsed: 1107756, Dilation factor: 1.11
Elapsed: 1112275, Dilation factor: 1.11
Elapsed: 1097530, Dilation factor: 1.10
Elapsed: 1095597, Dilation factor: 1.10
Elapsed: 1089180, Dilation factor: 1.09
Elapsed: 1087511, Dilation factor: 1.09
Elapsed: 2650647, Dilation factor: 2.65
Elapsed: 2641730, Dilation factor: 2.64
Elapsed: 2628491, Dilation factor: 2.63
Elapsed: 1851730, Dilation factor: 1.85
Elapsed: 2810275, Dilation factor: 2.81
Elapsed: 3681747, Dilation factor: 3.68
Elapsed: 2883062, Dilation factor: 2.88
Elapsed: 2879408, Dilation factor: 2.88
Elapsed: 2831674, Dilation factor: 2.83
Elapsed: 2640784, Dilation factor: 2.64
Elapsed: 1833014, Dilation factor: 1.83
Elapsed: 2617600, Dilation factor: 2.62
Elapsed: 2612813, Dilation factor: 2.61
Elapsed: 2613456, Dilation factor: 2.61
Elapsed: 2818379, Dilation factor: 2.82
Elapsed: 2883951, Dilation factor: 2.88
Elapsed: 2872807, Dilation factor: 2.87
Elapsed: 2880198, Dilation factor: 2.88
Elapsed: 2809479, Dilation factor: 2.81
Elapsed: 2639186, Dilation factor: 2.64
Elapsed: 2640373, Dilation factor: 2.64
Elapsed: 1833683, Dilation factor: 1.83
Elapsed: 2637301, Dilation factor: 2.64
Elapsed: 2636794, Dilation factor: 2.64
Elapsed: 2656866, Dilation factor: 2.66
Elapsed: 1869612, Dilation factor: 1.87
Elapsed: 2637223, Dilation factor: 2.64
Elapsed: 2616288, Dilation factor: 2.62
Elapsed: 1825832, Dilation factor: 1.83
Elapsed: 2624859, Dilation factor: 2.62
Elapsed: 2624563, Dilation factor: 2.62
Elapsed: 2634610, Dilation factor: 2.63
Elapsed: 1865781, Dilation factor: 1.87
Elapsed: 2639833, Dilation factor: 2.64
Elapsed: 2819891, Dilation factor: 2.82
Elapsed: 2884129, Dilation factor: 2.88
Elapsed: 3653897, Dilation factor: 3.65
Elapsed: 2802910, Dilation factor: 2.80
Elapsed: 2808962, Dilation factor: 2.81
Elapsed: 1836199, Dilation factor: 1.84
Elapsed: 2585531, Dilation factor: 2.59
Elapsed: 2612734, Dilation factor: 2.61
Elapsed: 2796557, Dilation factor: 2.80
Elapsed: 2721030, Dilation factor: 2.72
Elapsed: 1855796, Dilation factor: 1.86
Elapsed: 2823477, Dilation factor: 2.82
Elapsed: 3692983, Dilation factor: 3.69
Elapsed: 2864126, Dilation factor: 2.86
Elapsed: 2779752, Dilation factor: 2.78
Elapsed: 2603690, Dilation factor: 2.60
Elapsed: 1819025, Dilation factor: 1.82
Elapsed: 2630507, Dilation factor: 2.63
Elapsed: 2801535, Dilation factor: 2.80
Elapsed: 2804845, Dilation factor: 2.80
Elapsed: 2643018, Dilation factor: 2.64
Elapsed: 1872885, Dilation factor: 1.87
Elapsed: 2652680, Dilation factor: 2.65
Elapsed: 2643745, Dilation factor: 2.64
Elapsed: 2631636, Dilation factor: 2.63
Elapsed: 2624045, Dilation factor: 2.62
Elapsed: 1863462, Dilation factor: 1.86
Elapsed: 2650254, Dilation factor: 2.65
Elapsed: 2616994, Dilation factor: 2.62
Elapsed: 1850344, Dilation factor: 1.85
Elapsed: 2644779, Dilation factor: 2.64
Elapsed: 2640391, Dilation factor: 2.64
Elapsed: 2638954, Dilation factor: 2.64
Elapsed: 2809739, Dilation factor: 2.81
Elapsed: 2771505, Dilation factor: 2.77
Elapsed: 2644548, Dilation factor: 2.64
Elapsed: 2834845, Dilation factor: 2.83
Elapsed: 2890366, Dilation factor: 2.89
Elapsed: 2911379, Dilation factor: 2.91
