Elapsed: 1682613, Dilation factor: 1.68
Elapsed: 1672285, Dilation factor: 1.67
Elapsed: 1679464, Dilation factor: 1.68
Elapsed: 1675042, Dilation factor: 1.68
Elapsed: 1673265, Dilation factor: 1.67
Elapsed: 1670406, Dilation factor: 1.67
Elapsed: 1682509, Dilation factor: 1.68
Elapsed: 1674889, Dilation factor: 1.67
Elapsed: 1681108, Dilation factor: 1.68
Elapsed: 1696100, Dilation factor: 1.70
Elapsed: 1682101, Dilation factor: 1.68
Elapsed: 1681270, Dilation factor: 1.68
Elapsed: 1678368, Dilation factor: 1.68
Elapsed: 1680498, Dilation factor: 1.68
Elapsed: 1690160, Dilation factor: 1.69
Elapsed: 1679430, Dilation factor: 1.68
Elapsed: 1680470, Dilation factor: 1.68
Elapsed: 1675558, Dilation factor: 1.68
Elapsed: 1683205, Dilation factor: 1.68
Elapsed: 1682321, Dilation factor: 1.68
Elapsed: 1667378, Dilation factor: 1.67
Elapsed: 1679393, Dilation factor: 1.68
Elapsed: 1683765, Dilation factor: 1.68
Elapsed: 1673102, Dilation factor: 1.67
Elapsed: 1686383, Dilation factor: 1.69
Elapsed: 1678425, Dilation factor: 1.68
Elapsed: 1679785, Dilation factor: 1.68
Elapsed: 1673810, Dilation factor: 1.67
Elapsed: 1674364, Dilation factor: 1.67
Elapsed: 1673079, Dilation factor: 1.67
Elapsed: 1686149, Dilation factor: 1.69
Elapsed: 1684427, Dilation factor: 1.68
Elapsed: 1690053, Dilation factor: 1.69
Elapsed: 1686208, Dilation factor: 1.69
Elapsed: 1688627, Dilation factor: 1.69
Elapsed: 1678635, Dilation factor: 1.68
Elapsed: 1691585, Dilation factor: 1.69
Elapsed: 1639364, Dilation factor: 1.64
Elapsed: 1667052, Dilation factor: 1.67
Elapsed: 1678839, Dilation factor: 1.68
Elapsed: 1736994, Dilation factor: 1.74
Elapsed: 1777723, Dilation factor: 1.78
Elapsed: 1683981, Dilation factor: 1.68
Elapsed: 1681144, Dilation factor: 1.68
Elapsed: 1682862, Dilation factor: 1.68
Elapsed: 1679382, Dilation factor: 1.68
Elapsed: 1666267, Dilation factor: 1.67
Elapsed: 1676537, Dilation factor: 1.68
Elapsed: 1677220, Dilation factor: 1.68
