Elapsed: 2734398, Dilation factor: 2.73
Elapsed: 2731652, Dilation factor: 2.73
Elapsed: 2731098, Dilation factor: 2.73
Elapsed: 2740165, Dilation factor: 2.74
Elapsed: 2735543, Dilation factor: 2.74
Elapsed: 2739091, Dilation factor: 2.74
Elapsed: 2737685, Dilation factor: 2.74
Elapsed: 2733994, Dilation factor: 2.73
Elapsed: 2731403, Dilation factor: 2.73
Elapsed: 2728129, Dilation factor: 2.73
Elapsed: 2727455, Dilation factor: 2.73
Elapsed: 2736447, Dilation factor: 2.74
Elapsed: 2735640, Dilation factor: 2.74
Elapsed: 2736548, Dilation factor: 2.74
Elapsed: 2743126, Dilation factor: 2.74
Elapsed: 2732484, Dilation factor: 2.73
Elapsed: 2742720, Dilation factor: 2.74
Elapsed: 2733860, Dilation factor: 2.73
Elapsed: 2728407, Dilation factor: 2.73
Elapsed: 2734560, Dilation factor: 2.73
Elapsed: 2733334, Dilation factor: 2.73
Elapsed: 2736963, Dilation factor: 2.74
Elapsed: 2739622, Dilation factor: 2.74
Elapsed: 2724128, Dilation factor: 2.72
Elapsed: 2730367, Dilation factor: 2.73
Elapsed: 2729215, Dilation factor: 2.73
Elapsed: 2733736, Dilation factor: 2.73
Elapsed: 2732089, Dilation factor: 2.73
Elapsed: 2712641, Dilation factor: 2.71
Elapsed: 2736033, Dilation factor: 2.74
Elapsed: 2724180, Dilation factor: 2.72
Elapsed: 2720225, Dilation factor: 2.72
Elapsed: 2724646, Dilation factor: 2.72
Elapsed: 2734678, Dilation factor: 2.73
Elapsed: 2736509, Dilation factor: 2.74
Elapsed: 2715093, Dilation factor: 2.72
Elapsed: 2733350, Dilation factor: 2.73
Elapsed: 2725902, Dilation factor: 2.73
Elapsed: 2728344, Dilation factor: 2.73
Elapsed: 2717500, Dilation factor: 2.72
Elapsed: 2732072, Dilation factor: 2.73
Elapsed: 2731827, Dilation factor: 2.73
Elapsed: 2731992, Dilation factor: 2.73
Elapsed: 2730355, Dilation factor: 2.73
Elapsed: 2736191, Dilation factor: 2.74
Elapsed: 2735091, Dilation factor: 2.74
Elapsed: 2732516, Dilation factor: 2.73
Elapsed: 2729049, Dilation factor: 2.73
Elapsed: 2735372, Dilation factor: 2.74
Elapsed: 2732541, Dilation factor: 2.73
Elapsed: 2729240, Dilation factor: 2.73
Elapsed: 2740219, Dilation factor: 2.74
Elapsed: 2731890, Dilation factor: 2.73
Elapsed: 2739048, Dilation factor: 2.74
Elapsed: 2739463, Dilation factor: 2.74
Elapsed: 2738716, Dilation factor: 2.74
Elapsed: 2719200, Dilation factor: 2.72
Elapsed: 2737564, Dilation factor: 2.74
Elapsed: 2737827, Dilation factor: 2.74
Elapsed: 2730081, Dilation factor: 2.73
Elapsed: 2729141, Dilation factor: 2.73
Elapsed: 2721227, Dilation factor: 2.72
Elapsed: 2729122, Dilation factor: 2.73
Elapsed: 2724564, Dilation factor: 2.72
Elapsed: 2726842, Dilation factor: 2.73
Elapsed: 2739158, Dilation factor: 2.74
Elapsed: 2738177, Dilation factor: 2.74
Elapsed: 2732210, Dilation factor: 2.73
Elapsed: 2725594, Dilation factor: 2.73
Elapsed: 2737437, Dilation factor: 2.74
