seq=0 rtt=18.3ms rd=-3.79s sd=3.8s ipdv=n/a
seq=1 rtt=21.65ms rd=-3.85s sd=3.87s ipdv=3.35ms
seq=2 rtt=26.25ms rd=-3.9s sd=3.93s ipdv=4.6ms
seq=3 rtt=8.7ms rd=-3.96s sd=3.96s ipdv=17.55ms
seq=4 rtt=13ms rd=-4.02s sd=4.03s ipdv=4.3ms
seq=5 rtt=17.7ms rd=-4.07s sd=4.09s ipdv=4.7ms
seq=6 rtt=20.8ms rd=-4.14s sd=4.16s ipdv=3.1ms
seq=7 rtt=25.65ms rd=-4.19s sd=4.22s ipdv=4.85ms
seq=8 rtt=8.65ms rd=-4.26s sd=4.27s ipdv=17ms
seq=9 rtt=12.7ms rd=-4.34s sd=4.35s ipdv=4.05ms
seq=10 rtt=16.65ms rd=-4.41s sd=4.42s ipdv=3.95ms
seq=11 rtt=20.75ms rd=-4.48s sd=4.5s ipdv=4.1ms
seq=12 rtt=25.6ms rd=-4.55s sd=4.58s ipdv=4.85ms
seq=13 rtt=8.85ms rd=-4.62s sd=4.63s ipdv=16.76ms
seq=14 rtt=12.8ms rd=-19.82ms sd=32.62ms ipdv=3.95ms
seq=15 rtt=16.7ms rd=-94.83ms sd=111.5ms ipdv=3.9ms
seq=16 rtt=20.75ms rd=-167.1ms sd=187.8ms ipdv=4.05ms
seq=17 rtt=24.65ms rd=-241.6ms sd=266.3ms ipdv=3.9ms
seq=18 rtt=8.6ms rd=-306.8ms sd=315.4ms ipdv=16.06ms
seq=19 rtt=11.75ms rd=-375.6ms sd=387.4ms ipdv=3.15ms
seq=20 rtt=15.6ms rd=-441.1ms sd=456.7ms ipdv=3.85ms
seq=21 rtt=19.7ms rd=-509.3ms sd=529ms ipdv=4.1ms
seq=22 rtt=24.75ms rd=-581.3ms sd=606.1ms ipdv=5.05ms
seq=23 rtt=8.65ms rd=-651ms sd=659.7ms ipdv=16.1ms
seq=24 rtt=11.55ms rd=-718.9ms sd=730.4ms ipdv=2.9ms
seq=25 rtt=15.95ms rd=-799.6ms sd=815.5ms ipdv=4.4ms
seq=26 rtt=19.75ms rd=-862.5ms sd=882.3ms ipdv=3.8ms
seq=27 rtt=23.95ms rd=-922.2ms sd=946.1ms ipdv=4.2ms
seq=28 rtt=27.6ms rd=-992.7ms sd=1.02s ipdv=3.65ms
seq=29 rtt=10.65ms rd=-1.05s sd=1.06s ipdv=16.96ms
seq=30 rtt=14.9ms rd=-1.12s sd=1.13s ipdv=4.25ms
seq=31 rtt=18.9ms rd=-1.18s sd=1.19s ipdv=4ms
seq=32 rtt=23.75ms rd=-1.24s sd=1.27s ipdv=4.85ms
seq=33 rtt=26.55ms rd=-1.31s sd=1.34s ipdv=2.8ms
seq=34 rtt=10.7ms rd=-1.37s sd=1.38s ipdv=15.85ms
seq=35 rtt=14.65ms rd=-1.43s sd=1.44s ipdv=3.95ms
seq=36 rtt=18.65ms rd=-1.49s sd=1.51s ipdv=4ms
seq=37 rtt=22.45ms rd=-1.55s sd=1.57s ipdv=3.8ms
seq=38 rtt=26.85ms rd=-1.61s sd=1.63s ipdv=4.4ms
seq=39 rtt=10.6ms rd=-1.67s sd=1.68s ipdv=16.26ms
seq=40 rtt=15.6ms rd=-1.72s sd=1.74s ipdv=5ms
seq=41 rtt=18.05ms rd=-1.79s sd=1.81s ipdv=2.45ms
seq=42 rtt=22.7ms rd=-1.85s sd=1.87s ipdv=4.65ms
seq=43 rtt=26.9ms rd=-1.91s sd=1.94s ipdv=4.2ms
seq=44 rtt=9.7ms rd=-1.97s sd=1.98s ipdv=17.2ms
seq=45 rtt=13.9ms rd=-2.03s sd=2.04s ipdv=4.2ms
seq=46 rtt=17.8ms rd=-2.09s sd=2.11s ipdv=3.9ms
seq=47 rtt=21.7ms rd=-2.14s sd=2.16s ipdv=3.9ms
seq=48 rtt=26.65ms rd=-2.2s sd=2.23s ipdv=4.95ms
seq=49 rtt=9.65ms rd=-2.25s sd=2.26s ipdv=17ms
seq=50 rtt=13.7ms rd=-2.31s sd=2.32s ipdv=4.05ms
seq=51 rtt=18ms rd=-2.36s sd=2.38s ipdv=4.3ms
seq=52 rtt=21.5ms rd=-2.42s sd=2.45s ipdv=3.5ms
seq=53 rtt=25.9ms rd=-2.48s sd=2.51s ipdv=4.4ms
seq=54 rtt=8.55ms rd=-2.54s sd=2.55s ipdv=17.35ms
seq=55 rtt=12.95ms rd=-2.6s sd=2.62s ipdv=4.4ms
seq=56 rtt=16.6ms rd=-2.66s sd=2.68s ipdv=3.65ms
seq=57 rtt=21.55ms rd=-2.72s sd=2.74s ipdv=4.95ms
seq=58 rtt=25.6ms rd=-2.78s sd=2.8s ipdv=4.05ms
seq=59 rtt=8.8ms rd=-2.83s sd=2.84s ipdv=16.8ms
seq=60 rtt=12.75ms rd=-2.89s sd=2.9s ipdv=3.95ms
seq=61 rtt=16.45ms rd=-2.96s sd=2.97s ipdv=3.7ms
seq=62 rtt=20.45ms rd=-3.01s sd=3.03s ipdv=4ms
seq=63 rtt=24.85ms rd=-3.07s sd=3.1s ipdv=4.4ms
seq=64 rtt=8.65ms rd=-3.13s sd=3.14s ipdv=16.2ms
seq=65 rtt=11.8ms rd=-3.18s sd=3.2s ipdv=3.15ms
seq=66 rtt=16.6ms rd=-3.26s sd=3.27s ipdv=4.8ms
seq=67 rtt=20.7ms rd=-3.32s sd=3.34s ipdv=4.1ms
seq=68 rtt=24.75ms rd=-3.39s sd=3.41s ipdv=4.05ms
seq=69 rtt=8.65ms rd=-3.45s sd=3.46s ipdv=16.1ms
seq=70 rtt=11.8ms rd=-3.53s sd=3.54s ipdv=3.15ms
seq=71 rtt=15.7ms rd=-3.59s sd=3.6s ipdv=3.9ms
seq=72 rtt=19.6ms rd=-3.65s sd=3.67s ipdv=3.9ms
seq=73 rtt=23.85ms rd=-3.72s sd=3.75s ipdv=4.25ms
seq=74 rtt=26.7ms rd=-3.78s sd=3.81s ipdv=2.85ms
seq=75 rtt=11.8ms rd=-3.85s sd=3.86s ipdv=14.9ms
seq=76 rtt=15.75ms rd=-3.92s sd=3.93s ipdv=3.95ms
seq=77 rtt=19.75ms rd=-3.98s sd=4s ipdv=4ms
seq=78 rtt=23.6ms rd=-4.05s sd=4.08s ipdv=3.85ms
seq=79 rtt=27.5ms rd=-50.78ms sd=78.29ms ipdv=3.9ms
seq=80 rtt=10.9ms rd=-106.1ms sd=117ms ipdv=16.6ms
seq=81 rtt=14.7ms rd=-162.1ms sd=176.8ms ipdv=3.8ms
seq=82 rtt=18.75ms rd=-237.3ms sd=256.1ms ipdv=4.05ms
seq=83 rtt=22.75ms rd=-299.4ms sd=322.2ms ipdv=4ms
seq=84 rtt=26.6ms rd=-360.6ms sd=387.2ms ipdv=3.85ms
seq=85 rtt=10.8ms rd=-427.9ms sd=438.7ms ipdv=15.8ms
seq=86 rtt=14.9ms rd=-493.2ms sd=508.1ms ipdv=4.1ms
