seq=1559 rtt=15.53ms rd=-4m47s sd=4m47s ipdv=8.84ms
seq=1560 rtt=28.12ms rd=-4m57s sd=4m57s ipdv=12.59ms
seq=1561 rtt=20.58ms rd=-5m6s sd=5m6s ipdv=7.54ms
seq=1562 rtt=12.84ms rd=-4.33s sd=4.34s ipdv=7.74ms
seq=1563 rtt=26.13ms rd=-13.8s sd=13.8s ipdv=13.29ms
seq=1564 rtt=18.99ms rd=-22.9s sd=22.9s ipdv=7.14ms
seq=1565 rtt=10.7ms rd=-32s sd=32s ipdv=8.29ms
seq=1566 rtt=23.94ms rd=-41.4s sd=41.5s ipdv=13.24ms
seq=1567 rtt=16.05ms rd=-50.5s sd=50.5s ipdv=7.89ms
seq=1568 rtt=8.76ms rd=-59.6s sd=59.6s ipdv=7.29ms
seq=1569 rtt=22.47ms rd=-1m9s sd=1m9s ipdv=13.71ms
seq=1570 rtt=13.91ms rd=-1m18s sd=1m18s ipdv=8.56ms
seq=1571 rtt=27.25ms rd=-1m28s sd=1m28s ipdv=13.34ms
seq=1572 rtt=19.51ms rd=-1m37s sd=1m37s ipdv=7.74ms
seq=1573 rtt=11.78ms rd=-1m46s sd=1m46s ipdv=7.74ms
seq=1574 rtt=25.06ms rd=-1m55s sd=1m55s ipdv=13.29ms
seq=1575 rtt=17.52ms rd=-2m4s sd=2m4s ipdv=7.54ms
seq=1576 rtt=9.63ms rd=-2m13s sd=2m13s ipdv=7.89ms
seq=1577 rtt=23.37ms rd=-2m23s sd=2m23s ipdv=13.74ms
seq=1578 rtt=16.05ms rd=-2m32s sd=2m32s ipdv=7.32ms
seq=1579 rtt=8.96ms rd=-2m41s sd=2m41s ipdv=7.09ms
seq=1580 rtt=21.03ms rd=-2m50s sd=2m50s ipdv=12.07ms
seq=1581 rtt=12.84ms rd=-3m0s sd=3m0s ipdv=8.19ms
seq=1582 rtt=27ms rd=-3m9s sd=3m9s ipdv=14.16ms
seq=1583 rtt=19.26ms rd=-3m18s sd=3m18s ipdv=7.74ms
seq=1584 rtt=11.77ms rd=-3m27s sd=3m27s ipdv=7.49ms
seq=1585 rtt=25.01ms rd=-3m37s sd=3m37s ipdv=13.24ms
seq=1586 rtt=16.95ms rd=-3m46s sd=3m46s ipdv=8.06ms
seq=1587 rtt=9.63ms rd=-3m55s sd=3m55s ipdv=7.32ms
