CELL,NEIGHBOR
1,8
1,850
2,691
3,106
4,978
5,353
5,736
5,758
5,869
5,896
6,91
6,507
6,987
6,991
7,159
7,442
7,507
8,1
8,850
9,298
9,639
10,656
10,991
11,199
11,373
11,686
11,736
11,758
11,926
12,50
12,288
12,388
12,389
13,33
13,126
13,397
13,748
14,22
14,24
14,279
14,383
14,581
14,628
15,33
15,94
15,263
15,407
16,260
16,304
16,421
16,448
17,264
17,364
17,393
17,439
17,532
18,347
19,726
20,569
20,636
20,816
21,53
21,93
21,154
21,179
22,14
22,216
22,726
22,741
22,979
23,54
23,400
23,519
23,980
24,14
24,68
24,237
24,318
24,575
24,581
25,204
25,726
25,915
26,398
26,400
26,602
26,723
26,735
26,754
27,41
27,95
27,120
27,368
27,497
28,981
29,148
29,159
29,378
29,529
29,578
30,588
30,650
31,232
31,682
32,39
32,349
32,499
32,728
32,739
33,13
33,15
33,628
33,712
34,66
34,379
34,572
34,583
35,75
35,162
35,797
36,103
36,138
36,219
36,490
36,810
36,921
37,298
37,639
37,669
37,994
38,45
38,126
38,265
38,284
38,627
38,637
39,32
39,499
40,216
40,437
40,741
40,822
41,27
41,120
41,208
41,302
41,497
42,215
42,285
42,289
42,531
42,770
42,815
43,78
43,123
43,558
44,107
44,380
44,788
44,805
44,978
44,997
45,38
45,68
45,291
46,135
46,304
46,421
47,203
47,226
47,534
47,604
47,663
47,761
48,162
48,187
48,338
48,548
48,662
48,797
49,51
49,84
49,276
49,994
50,12
50,288
50,293
50,388
50,389
51,49
51,84
51,1000
52,352
52,460
53,21
53,93
54,23
54,351
54,484
54,980
55,335
55,532
55,738
55,751
56,179
56,380
57,69
57,234
57,261
57,316
57,405
57,527
58,361
58,413
58,466
58,481
58,922
58,929
59,209
59,495
59,736
59,758
59,809
59,880
60,202
60,226
60,604
61,62
61,301
61,328
61,514
61,564
61,672
62,61
62,301
62,328
62,514
62,564
62,672
63,393
63,485
63,541
63,567
63,719
63,721
64,309
64,568
64,645
64,814
65,518
65,647
65,676
66,34
66,379
66,567
66,572
66,583
66,981
67,238
67,245
67,648
67,694
67,835
68,24
68,45
68,126
68,730
69,57
69,293
69,368
69,525
69,533
69,660
70,221
70,353
70,371
70,809
71,192
71,435
71,666
71,881
72,136
72,240
72,254
72,915
73,109
73,142
73,194
73,432
74,132
74,146
74,306
74,713
74,796
75,35
75,162
75,797
76,107
76,124
76,329
76,469
76,620
76,997
77,134
77,157
77,987
77,991
78,43
78,123
78,255
78,331
78,558
78,638
79,103
79,178
79,242
79,651
79,921
80,114
80,181
80,620
81,137
81,268
81,273
81,295
81,1000
82,100
82,217
82,320
82,505
82,587
83,150
83,168
83,334
83,420
83,689
83,759
84,49
84,51
84,302
85,173
85,228
85,482
85,562
85,755
86,207
86,295
86,401
86,415
86,489
86,545
87,307
87,612
87,742
87,860
88,144
88,172
88,326
