Component 1 is at IP 10.1.2.1
Component 2 is at IP 10.1.3.1
Component 3 is at IP 10.1.4.1
Component 4 is at IP 10.1.5.1
Component 5 is at IP 10.1.6.1
Component 6 is at IP 10.1.7.1
Component 7 is at IP 10.1.8.1
Component 8 is at IP 10.1.9.1
Component 9 is at IP 10.1.10.1
Component 10 is at IP 10.1.11.1
Running global slot checker on 10.4.1.1:6000
Starting component 1
Starting component 2
Starting component 3
Starting component 4
Starting component 5
Starting component 6
Starting component 7
Starting component 8
Starting component 9
Starting component 10
Elapsed: 1260798, Dilation factor: 1.26
Elapsed: 1278369, Dilation factor: 1.28
Elapsed: 1275369, Dilation factor: 1.28
Elapsed: 1258068, Dilation factor: 1.26
Elapsed: 1257329, Dilation factor: 1.26
Elapsed: 1249388, Dilation factor: 1.25
Elapsed: 1254666, Dilation factor: 1.25
Elapsed: 1253102, Dilation factor: 1.25
Elapsed: 1260361, Dilation factor: 1.26
Elapsed: 1256067, Dilation factor: 1.26
Elapsed: 1258025, Dilation factor: 1.26
Elapsed: 1255698, Dilation factor: 1.26
Elapsed: 1256457, Dilation factor: 1.26
Elapsed: 1262232, Dilation factor: 1.26
Elapsed: 1265849, Dilation factor: 1.27
Elapsed: 1258480, Dilation factor: 1.26
Elapsed: 1253179, Dilation factor: 1.25
Elapsed: 1258281, Dilation factor: 1.26
Elapsed: 1259535, Dilation factor: 1.26
Elapsed: 1264943, Dilation factor: 1.26
Elapsed: 1253975, Dilation factor: 1.25
Elapsed: 1261768, Dilation factor: 1.26
Elapsed: 1266130, Dilation factor: 1.27
Elapsed: 1251901, Dilation factor: 1.25
Elapsed: 1258214, Dilation factor: 1.26
Elapsed: 1242343, Dilation factor: 1.24
Elapsed: 1252994, Dilation factor: 1.25
Elapsed: 1259225, Dilation factor: 1.26
Elapsed: 1259528, Dilation factor: 1.26
Elapsed: 1268868, Dilation factor: 1.27
Elapsed: 1264624, Dilation factor: 1.26
Elapsed: 1267464, Dilation factor: 1.27
Elapsed: 1277495, Dilation factor: 1.28
Elapsed: 1270358, Dilation factor: 1.27
Elapsed: 1262188, Dilation factor: 1.26
Elapsed: 1269479, Dilation factor: 1.27
Elapsed: 1257843, Dilation factor: 1.26
Elapsed: 1263799, Dilation factor: 1.26
Elapsed: 1258408, Dilation factor: 1.26
Elapsed: 1257552, Dilation factor: 1.26
Elapsed: 1259332, Dilation factor: 1.26
Elapsed: 1257619, Dilation factor: 1.26
Elapsed: 1257834, Dilation factor: 1.26
Elapsed: 1260134, Dilation factor: 1.26
Elapsed: 1256658, Dilation factor: 1.26
Elapsed: 1264502, Dilation factor: 1.26
Elapsed: 1253615, Dilation factor: 1.25
Elapsed: 1264689, Dilation factor: 1.26
Elapsed: 1265191, Dilation factor: 1.27
Elapsed: 1263736, Dilation factor: 1.26
Elapsed: 1265985, Dilation factor: 1.27
Elapsed: 1260664, Dilation factor: 1.26
Elapsed: 1260439, Dilation factor: 1.26
Elapsed: 1253585, Dilation factor: 1.25
Elapsed: 1256882, Dilation factor: 1.26
Elapsed: 1255418, Dilation factor: 1.26
Elapsed: 1269730, Dilation factor: 1.27
