Component 1 is at IP 10.1.2.1
Component 2 is at IP 10.1.3.1
Running global slot checker on 10.4.1.1:6000
Starting component 1
Starting component 2
Elapsed: 1217322, Dilation factor: 1.22
Elapsed: 1250479, Dilation factor: 1.25
Elapsed: 1239922, Dilation factor: 1.24
Elapsed: 1246543, Dilation factor: 1.25
Elapsed: 1217664, Dilation factor: 1.22
Elapsed: 1187468, Dilation factor: 1.19
Elapsed: 1187651, Dilation factor: 1.19
Elapsed: 1202671, Dilation factor: 1.20
Elapsed: 1206560, Dilation factor: 1.21
Elapsed: 1248530, Dilation factor: 1.25
Elapsed: 1204382, Dilation factor: 1.20
Elapsed: 1235688, Dilation factor: 1.24
Elapsed: 1241970, Dilation factor: 1.24
Elapsed: 1276584, Dilation factor: 1.28
Elapsed: 1263885, Dilation factor: 1.26
Elapsed: 1263980, Dilation factor: 1.26
Elapsed: 1263950, Dilation factor: 1.26
Elapsed: 1277032, Dilation factor: 1.28
Elapsed: 1274161, Dilation factor: 1.27
Elapsed: 1281008, Dilation factor: 1.28
Elapsed: 1272587, Dilation factor: 1.27
Elapsed: 1269128, Dilation factor: 1.27
Elapsed: 1274675, Dilation factor: 1.27
Elapsed: 1265381, Dilation factor: 1.27
Elapsed: 1256697, Dilation factor: 1.26
Elapsed: 1269905, Dilation factor: 1.27
Elapsed: 1277648, Dilation factor: 1.28
Elapsed: 1261447, Dilation factor: 1.26
Elapsed: 1276387, Dilation factor: 1.28
Elapsed: 1252667, Dilation factor: 1.25
Elapsed: 1240821, Dilation factor: 1.24
Elapsed: 1234014, Dilation factor: 1.23
Elapsed: 1262574, Dilation factor: 1.26
Elapsed: 1274436, Dilation factor: 1.27
Elapsed: 1261078, Dilation factor: 1.26
Elapsed: 1247290, Dilation factor: 1.25
Elapsed: 1262718, Dilation factor: 1.26
Elapsed: 1257192, Dilation factor: 1.26
Elapsed: 1248775, Dilation factor: 1.25
Elapsed: 1256395, Dilation factor: 1.26
Elapsed: 1273788, Dilation factor: 1.27
Elapsed: 1266099, Dilation factor: 1.27
Elapsed: 1277062, Dilation factor: 1.28
Elapsed: 1276373, Dilation factor: 1.28
Elapsed: 1268101, Dilation factor: 1.27
Elapsed: 1280085, Dilation factor: 1.28
Elapsed: 1259883, Dilation factor: 1.26
Elapsed: 1261812, Dilation factor: 1.26
Elapsed: 1261349, Dilation factor: 1.26
Elapsed: 1261191, Dilation factor: 1.26
Elapsed: 1263429, Dilation factor: 1.26
Elapsed: 1265620, Dilation factor: 1.27
Elapsed: 1272431, Dilation factor: 1.27
Elapsed: 1245794, Dilation factor: 1.25
Elapsed: 1257526, Dilation factor: 1.26
Elapsed: 1262627, Dilation factor: 1.26
Elapsed: 1267068, Dilation factor: 1.27
