Component 1 is at IP 10.1.2.1
Component 2 is at IP 10.1.3.1
Component 3 is at IP 10.1.4.1
Component 4 is at IP 10.1.5.1
Component 5 is at IP 10.1.6.1
Component 6 is at IP 10.1.7.1
Component 7 is at IP 10.1.8.1
Component 8 is at IP 10.1.9.1
Component 9 is at IP 10.1.10.1
Component 10 is at IP 10.1.11.1
Component 11 is at IP 10.1.12.1
Component 12 is at IP 10.1.13.1
Component 13 is at IP 10.1.14.1
Component 14 is at IP 10.1.15.1
Component 15 is at IP 10.1.16.1
Component 16 is at IP 10.1.17.1
Component 17 is at IP 10.1.18.1
Component 18 is at IP 10.1.19.1
Component 19 is at IP 10.1.20.1
Component 20 is at IP 10.1.21.1
Running global slot checker on 10.4.1.1:6000
Starting component 1
Starting component 2
Starting component 3
Starting component 4
Starting component 5
Starting component 6
Starting component 7
Starting component 8
Starting component 9
Starting component 10
Starting component 11
Starting component 12
Starting component 13
Starting component 14
Starting component 15
Starting component 16
Starting component 17
Starting component 18
Starting component 19
Starting component 20
Elapsed: 1349761, Dilation factor: 1.35
Elapsed: 1384018, Dilation factor: 1.38
Elapsed: 1353668, Dilation factor: 1.35
Elapsed: 1354655, Dilation factor: 1.35
Elapsed: 1372294, Dilation factor: 1.37
Elapsed: 1347068, Dilation factor: 1.35
Elapsed: 1360657, Dilation factor: 1.36
Elapsed: 1364839, Dilation factor: 1.36
Elapsed: 1348983, Dilation factor: 1.35
Elapsed: 1372418, Dilation factor: 1.37
Elapsed: 1355442, Dilation factor: 1.36
Elapsed: 1361525, Dilation factor: 1.36
Elapsed: 1336472, Dilation factor: 1.34
Elapsed: 1366558, Dilation factor: 1.37
Elapsed: 1347837, Dilation factor: 1.35
Elapsed: 1369309, Dilation factor: 1.37
Elapsed: 1357712, Dilation factor: 1.36
Elapsed: 1351668, Dilation factor: 1.35
Elapsed: 1376127, Dilation factor: 1.38
Elapsed: 1366925, Dilation factor: 1.37
Elapsed: 1373556, Dilation factor: 1.37
Elapsed: 1361205, Dilation factor: 1.36
Elapsed: 1362404, Dilation factor: 1.36
Elapsed: 1356467, Dilation factor: 1.36
Elapsed: 1355980, Dilation factor: 1.36
Elapsed: 1347844, Dilation factor: 1.35
Elapsed: 1342581, Dilation factor: 1.34
Elapsed: 1344535, Dilation factor: 1.34
Elapsed: 1323532, Dilation factor: 1.32
Elapsed: 1340454, Dilation factor: 1.34
Elapsed: 1373421, Dilation factor: 1.37
Elapsed: 1406554, Dilation factor: 1.41
Elapsed: 1418351, Dilation factor: 1.42
Elapsed: 1422640, Dilation factor: 1.42
Elapsed: 1418310, Dilation factor: 1.42
Elapsed: 1413374, Dilation factor: 1.41
Elapsed: 1412937, Dilation factor: 1.41
Elapsed: 1412854, Dilation factor: 1.41
Elapsed: 1409406, Dilation factor: 1.41
Elapsed: 1402716, Dilation factor: 1.40
Elapsed: 1415247, Dilation factor: 1.42
Elapsed: 1422378, Dilation factor: 1.42
Elapsed: 1421840, Dilation factor: 1.42
Elapsed: 1414500, Dilation factor: 1.41
Elapsed: 1410355, Dilation factor: 1.41
Elapsed: 1344725, Dilation factor: 1.34
Elapsed: 1345721, Dilation factor: 1.35
Elapsed: 1357363, Dilation factor: 1.36
Elapsed: 1365974, Dilation factor: 1.37
Elapsed: 1411719, Dilation factor: 1.41
Elapsed: 1416483, Dilation factor: 1.42
Elapsed: 1413710, Dilation factor: 1.41
Elapsed: 1407541, Dilation factor: 1.41
Elapsed: 1415550, Dilation factor: 1.42
Elapsed: 1402658, Dilation factor: 1.40
