Component 1 is at IP 10.1.2.1
Component 2 is at IP 10.1.3.1
Component 3 is at IP 10.1.4.1
Component 4 is at IP 10.1.5.1
Component 5 is at IP 10.1.6.1
Running global slot checker on 10.4.1.1:6000
Starting component 1
Starting component 2
Starting component 3
Starting component 4
Starting component 5
Elapsed: 1204213, Dilation factor: 1.20
Elapsed: 1200221, Dilation factor: 1.20
Elapsed: 1226639, Dilation factor: 1.23
Elapsed: 1200123, Dilation factor: 1.20
Elapsed: 1202136, Dilation factor: 1.20
Elapsed: 1217269, Dilation factor: 1.22
Elapsed: 1201208, Dilation factor: 1.20
Elapsed: 1213359, Dilation factor: 1.21
Elapsed: 1201472, Dilation factor: 1.20
Elapsed: 1205887, Dilation factor: 1.21
Elapsed: 1218021, Dilation factor: 1.22
Elapsed: 1219135, Dilation factor: 1.22
Elapsed: 1199431, Dilation factor: 1.20
Elapsed: 1211715, Dilation factor: 1.21
Elapsed: 1207841, Dilation factor: 1.21
Elapsed: 1219374, Dilation factor: 1.22
Elapsed: 1209722, Dilation factor: 1.21
Elapsed: 1208481, Dilation factor: 1.21
Elapsed: 1204095, Dilation factor: 1.20
Elapsed: 1218022, Dilation factor: 1.22
Elapsed: 1219938, Dilation factor: 1.22
Elapsed: 1206028, Dilation factor: 1.21
Elapsed: 1204030, Dilation factor: 1.20
Elapsed: 1211524, Dilation factor: 1.21
Elapsed: 1208924, Dilation factor: 1.21
Elapsed: 1215827, Dilation factor: 1.22
Elapsed: 1202878, Dilation factor: 1.20
Elapsed: 1208735, Dilation factor: 1.21
Elapsed: 1208888, Dilation factor: 1.21
Elapsed: 1203426, Dilation factor: 1.20
Elapsed: 1203669, Dilation factor: 1.20
Elapsed: 1213899, Dilation factor: 1.21
Elapsed: 1205843, Dilation factor: 1.21
Elapsed: 1215013, Dilation factor: 1.22
Elapsed: 1208021, Dilation factor: 1.21
Elapsed: 1210432, Dilation factor: 1.21
Elapsed: 1219546, Dilation factor: 1.22
Elapsed: 1208369, Dilation factor: 1.21
Elapsed: 1201472, Dilation factor: 1.20
Elapsed: 1210444, Dilation factor: 1.21
Elapsed: 1232383, Dilation factor: 1.23
Elapsed: 1212132, Dilation factor: 1.21
Elapsed: 1201345, Dilation factor: 1.20
Elapsed: 1212663, Dilation factor: 1.21
Elapsed: 1199782, Dilation factor: 1.20
Elapsed: 1200036, Dilation factor: 1.20
Elapsed: 1204336, Dilation factor: 1.20
Elapsed: 1220106, Dilation factor: 1.22
Elapsed: 1214733, Dilation factor: 1.21
Elapsed: 1218500, Dilation factor: 1.22
Elapsed: 1201536, Dilation factor: 1.20
Elapsed: 1211246, Dilation factor: 1.21
Elapsed: 1200555, Dilation factor: 1.20
Elapsed: 1201327, Dilation factor: 1.20
Elapsed: 1204059, Dilation factor: 1.20
Elapsed: 1207543, Dilation factor: 1.21
Elapsed: 1203922, Dilation factor: 1.20
Elapsed: 1210232, Dilation factor: 1.21
Elapsed: 1203971, Dilation factor: 1.20
