# proxy downlink barrier profile
# arm_clock_monotonic_ns=96136833467440
# arm_clock_realtime_ns=1785737022813528223
# dump_clock_monotonic_ns=96209914420233
# dump_clock_realtime_ns=1785737095894481106
# realtime_monotonic_drift_ns=-90
# rounds_recorded=7568 slot_indications_recorded=189176
# round_seq_range=48529..56096
# times are ns; seg_* are us; skip lines beginning with '#'
round_seq,sfn,slot,gnb_count,sfn_slot_mismatch,latest_gnb_id,seg1_kernel_to_wake_us,seg2a_lock_blocked_us,seg2b_drain_us,seg2c_fanout_us,seg3a_unpack_us,seg3b_lock_wait_us,seg4_lock_to_flag_us,seg5a_ue_phase_us,seg5b_gnb_phase_us,seg6_ack_us,total_wait_us,msgs_before_slotind,t0_kernel_real_ns,t0_kernel_mono_ns,t1_wake_ns,t2_dispatch_ns,t2b_prelock_ns,t3_locked_ns,t4_max_ns,lock_blocked_ns,fanout_held_ns,t5_round_start_ns,t6_ue_done_ns,t7_gnb_done_ns,t8_ack_sent_ns,really_finished_ue,really_finished_gnb
48530,378,10,25,0,10,13.185,0.000,4.478,0.000,21.009,1711.838,266.139,0.000,3.186,13.345,2033.180,0,1785737022819792683,96136839731900,96136839745085,96136839749563,96136839770572,96136841482410,96136841748549,0,0,96136835614163,96136839553105,96136841751735,96136841765080,1,1
48531,378,11,25,0,8,15.699,0.000,4.528,0.000,22.102,4987.327,89.918,0.000,8.987,15.339,5143.900,0,1785737022824213057,96136844152274,96136844167973,96136844172501,96136844194603,96136849181930,96136849271848,0,0,96136842068579,96136843969150,96136849280835,96136849296174,1,1
48532,378,12,25,0,7,0.591,8946.155,45.876,330.630,32.390,2372.306,180.859,0.000,1.603,19.767,11930.177,1,1785737022830405983,96136850345200,96136850345791,96136859668452,96136859700842,96136862073148,96136862254007,8946155,330630,96136849741468,96136852212519,96136862255610,96136862275377,1,1
48533,378,13,25,0,2,14.527,5596.989,36.688,330.059,18.836,4883.281,290.865,0.000,8.346,19.006,11198.597,1,1785737022843947390,96136863886607,96136863901134,96136869864870,96136869883706,96136874766987,96136875057852,5596989,330059,96136862732053,96136863684398,96136875066198,96136875085204,1,1
48534,378,14,25,0,11,15.479,0.000,4.328,0.000,21.992,463.158,119.724,0.000,6.172,15.238,646.091,0,1785737022860638349,96136880577566,96136880593045,96136880597373,96136880619365,96136881082523,96136881202247,0,0,96136875439437,96136880415513,96136881208419,96136881223657,1,1
48535,378,15,25,0,17,16.822,0.000,11.521,0.000,16.611,4872.391,219.502,0.000,3.156,17.903,5157.906,0,1785737022863295970,96136883235187,96136883252009,96136883263530,96136883280141,96136888152532,96136888372034,0,0,96136881770212,96136883046343,96136888375190,96136888393093,1,1
48536,378,16,25,0,7,14.337,0.000,4.579,0.000,22.712,3108.616,136.105,0.000,3.276,13.816,3303.441,0,1785737022871804796,96136891744013,96136891758350,96136891762929,96136891785641,96136894894257,96136895030362,0,0,96136888858605,96136891558445,96136895033638,96136895047454,1,1
48537,378,17,25,0,12,20.819,4378.376,43.771,336.691,13.335,822.912,204.644,0.000,8.866,14.638,5844.052,1,1785737022880822746,96136900761963,96136900782782,96136905541620,96136905554955,96136906377867,96136906582511,4378376,336691,96136895348728,96136900566156,96136906591377,96136906606015,1,1
48538,378,18,25,0,18,-8.396,5173.144,42.831,333.024,22.983,1848.044,145.903,0.000,1.503,19.988,7579.024,1,1785737022890934055,96136910873272,96136910864876,96136916413875,96136916436858,96136918284902,96136918430805,5173144,333024,96136907093699,96136910659271,96136918432308,96136918452296,1,1
48539,378,19,25,0,17,13.355,5141.556,42.840,233.087,22.943,3475.924,211.537,0.000,0.921,18.715,9160.878,1,1785737022902159141,96136922098358,96136922111713,96136927529196,96136927552139,96136931028063,96136931239600,5141556,233087,96136918902810,96136921943979,96136931240521,96136931259236,1,1
