# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
1         17637     14823     15058     97883     15299     14146     14885
2         82222     87909     85100     71165    168001     98244    141229
3        625571    602981    609314    644275    568966    610052    584082
4        101190    116642    113055     94419     72685     99712     83064
5          1207      2297      2297      1930      1004      2723      2460
6            79       112       146   2734128       273       352       409
7       2324832   2594284   2101017    497453   2316532   2301365   2673624
8        848117    614129   1054577      6883    919575    886962    545478
9         64013     30826     83550       666     59598     50800     20019
10         2481       546       579       552       724       335       220
11          665       373       390       326        91        32        19
12          393       380       371       186        30        19         9
13          109       111       147       144        63        19         5
14           64        44        38        82       444        10         1
15           33        23        21        30       271         7         3
16           16         4         5        14       133         2         0
17            4         1         4         3        33         2         1
18            3         0         0         3        10         1         0
19           14         2         0         2         2         0         0
20           21         0         0         1         0         1         0
21            7         0         0         0         0         0         0
22            6         1         0         0         0         0         0
23            0         0         0         7         0         0         0
24            0         0         0        63         0         0         0
25            0         0         0       249         0         0         0
26            0         0         0       602         0         0         0
27            1         0         0       775         0         0         0
28            0         0         0       699         0         0         0
29            0         0         0       414         0         0         0
30            1         0         0       288         0         0         0
31            0         0         0       203         0         0         0
32            0         0         0       115         0         0         0
33            0         1         0        73         0         0         0
34            0         0         0        51         0         0         0
35            0         0         0        28         0         0         0
36            0         0         0         8         0         0         0
37            0         0         0         5         0         0         0
38            0         0         0         3         0         0         0
39            0         0         0         1         0         0         0
40            0         0         0         4         0         0         0
41            0         0         0         1         0         0         0
42            0         0         0         1         0         0         0
43            0         0         0         3         0         0         0
44            0         0         0         1         0         0         0
45            0         0         0         2         0         0         0
46            0         0         0         1         0         0         0
49            0         0         0         1         0         0         0
51            0         0         0         1         0         0         0
52            0         0         0         0         1         0         0
53            0         0         0         0         1         0         0
54            0         0         0         0         5         0         0
55            0         0         0         0        13         0         0
56            0         0         0         0         8         0         0
57            1         0         0         0         5         0         0
58            0         0         0         0         5         0         0
59            0         0         0         0         4         0         0
60            0         0         0         0         3         0         0
61            2         0         0         1         2         0         0
63            0         0         0         0         2         0         0
65            0         0         0         0         1         0         0
66            2         0         0         0         1         0         0
67            2         0         0         0         0         0         0
68            5         0         0         0         0         0         0
69            6         0         0         0         0         0         0
70            8         0         0         0         0         0         0
71           11         0         0         0         2         0         0
72            4         0         0         0         1         0         0
73            3         0         0         0         0         0         0
74            1         0         0         0         0         0         0
75            0         0         0         0         1         0         0
76            1         0         0         0         2         0         0
78            0         0         0         0         1         0         0
85            0         0         0         0         1         0         0
93            0         0         0         0         1         0         0
over:         0         0         0         0         0         0         0
count:  4068732   4065489   4065669   4153745   4123794   4064784   4065508
min:          1         1         1         1         1         1         1
avg:       6.43      6.36      6.49      5.45      6.42      6.43      6.31
max:         76        33        17        61        93        20        17
