[ec2-user@ip-172-31-40-4 ~]$ cat m7i-flex.2xlarge.log
# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
0       4185020   4105187   4097540   4428150   4098916   4093112   4051530
10         4364      4215      3607    388106      2895      3884     11524
20         1205       917       547    282689      1149       914       529
30          601       475       400    161682       591       433       348
40          321       348       262     91493       327       366       254
50          264       301       223     63448       264       286       246
60          204       221       202     41844       200       227       204
70          222       190       190     28910       211       198       184
80          170       161       145     21725       184       162       145
90          121       134       115     17035       113       125       130
100          82        82        98     14139        91        92        82
110          64        82        66     11471        66        80        75
120          55        64        61      9856        57        64        58
130          67        64        53      8493        64        63        49
140          44        46        40      7599        41        43        38
150          29        38        39      6880        35        37        46
160          45        53        32      6127        43        49        42
170          29        35        36      5831        34        43        33
180          32        31        37      5183        25        32        34
190          27        35        27      4621        34        33        26
200          30        35        22      4211        21        39        22
210          34        25        30      3855        30        21        30
220          23        21        16      3499        27        19        14
230          20        16        13      3315        21        24        20
240          20        15        30      2973        19        16        28
250          20        12        16      2839        18        10        17
260          19        22        22      2717        26        17        17
270          18        24        17      2512        21        16        24
280          18        13        14      2358        18        20        18
290          14         9        23      2228        10         7        21
300           9        11        19      2248        12        13        22
310          20         6        11      2068        19         9        11
320          14        14        17      1900        11        12        13
330           8        15        11      1857        12        14        15
340          14         5        14      1746        12         5        14
350           9         8        10      1739        10         8        11
360           6         9         6      1592         8         9         4
370          12        11        10      1637         5        16        12
380           5        12         8      1505        10         8         9
390          10         0        12      1385        11         4         9
400           9         6         9      1375         6         9         8
410           9         4         9      1364         8         5        10
420           6         6         8      1290         6         4         7
430           8         5        10      1258         4         5         9
440           9        12         6      1168         8        10         6
450           8         8         3      1133        13        11         0
460           7         6         8      1030         5         6         9
470           4         6         6       992         6         6         8
480           8         8         6       986         5         8         7
490           5         4        10       921         8         3         8
500           7         8         8       898         1         7         8
510           8         2         3       895        11         4         3
520           5         4         2       801         8         9         6
530           3        10         6       820         1         6         3
540           3         6         5       800         6         9         6
550           5         4         6       790         4         2         6
560           3         6         6       766         4         4         5
570           4         4         6       749         4         5         4
580           2         7         4       771         3         8         8
590           9         5         4       723         9         5         4
600           4         9         7       723         3         5         6
610           3        11         2       691         7        10         5
620           7         3         0       630         3         6         1
630           8         4         4       663        10         2         4
640           8         0         0       709         8         3         5
