[ec2-user@ip-172-31-45-134 ~]$ cat 1bucket.m7i.2xlarge.log
# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
1         48615     34044     45447    218836     41404     32585     45049
2        654372    658865    612101    697687    676291    652192    664380
3        140858    138930    186695    103303    126542    149194    131343
4          6542      6864      9172     10748      6869      8220      7287
5           462       417      4555       558       766       680       557
6            34        95      1956   2173093       349       210       265
7        961893   1586781   1373047   1026087   1141728    872075   1600684
8       1850483   1437786   1589644     37733   1834877   2120936   1426018
9        398372    246137    270799      1616    259108    259840    214286
10        24759      7678      5491       972      3153      2782      4097
11         3382      1495       960       545       307       314       437
12         1440       818       608       319       124       135       131
13          213       272       183       201        19        55        23
14           71       339        53       102        20       118         8
15           29       220        20        44        12       128        11
16           10       126         7        20         5        68         8
17            9        33         0         9         1        24         5
18           15        22         1        11         1        19         2
19            9         9         1         6         1        13         1
20            5        12         1         5         0         3         0
21            4        19         3         4         1         1         0
22            3        17         0         3         1         2         0
23            1         8         0         0         0         2         0
24            2         5         0         0         0         1         0
25            0         3         0         0         0         0         0
27            0         0         0         0         0         1         0
29            0         1         0         0         0         0         0
32            0         0         0         0         0         1         0
48            0         0         0         5         0         0         0
49            0         0         0         6         0         0         0
50            0         0         0         8         0         0         0
51            0         0         0         7         0         0         0
52            0         0         0        13         0         0         0
53            0         0         0         6         0         0         0
54            0         0         0         5         0         0         0
55            0         0         0         3         0         0         0
56            0         0         0         4         0         0         0
57            0         0         0         1         0         0         0
58            0         0         0         2         0         0         0
65            0         0         0         0         0         2         0
66            0         0         0         0         0         2         0
67            0         0         0         0         0         6         0
68            0         0         0         0         0         7         0
69            0         0         0         0         0         5         0
70            0         0         0         0         0         1         0
71            0         0         0         0         0         2         0
72            0         0         0         0         0         2         0
73            0         2         0         0         0         4         0
74            0         1         0         0         0        13         0
75            0         4         0         0         0        10         0
76            0         6         0         0         0         4         0
77            0        12         0         0         0         2         0
78            0         4         0         0         0         5         0
79            0         4         0         0         0         5         0
80            0         1         0         0         0         2         0
81            0         1         0         0         0         2         0
83            0         2         0         0         0         0         0
84            0         2         0         0         0         1         0
85            0         2         0         0         0         2         0
87            0         1         0         0         0         0         0
114           0         1         0         0         0         0         0
125           0         0         0         1         0         0         0
129           0         0         0         2         0         0         0
135           0         0         0         1         0         0         0
over:         0         0         0         0         0         0         0
count:  4091583   4121039   4100744   4271966   4091579   4099676   4094592
min:          1         1         1         1         1         1         1
avg:       6.66      6.49      6.52      5.28      6.56      6.65      6.45
max:         24       114        21       135        22        85        19
