# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
1        357954    352419    356333    356043    355242    366013    355637 
2          3447      3111      4040      3791      3916      5931      4040 
3       1285031   1739580   1979063   1899428   1909335   1973792   1983045 
4       1766619   1446154   1106472   1291592   1278138   1211542   1210578 
5        132077     15763      6447      6789     10367      7539      6933 
6          8281     10086      9778     10329     10308     13399     10018 
7          8869      9185      9307      9268      9371     11823      9215 
8          6860      2902      2400      2443      2680      2496      2317 
9          2571      1101       938      1028      1130      1211      1028 
10       143912    386512    146866     42553     43773     90086    275847 
11       552513    308933    435976    649526    649556    604293    418636 
12         3821      3973      2851      2765      3213      3053      3892 
13         4189      2404      3213      4606      4119      3601      3013 
14         3704      4348     63574      2153      4196      4377      4289 
15         9082     44973     72017     21907      9927     14763     33601 
16       674462    656415    680418    526073    644442    684031    651414 
17        13080      2847      7317    157212     48977      5161     18161 
18         1436       954      1172      1749      1470      1736      1241 
19         1506      1957      1337      1176      1491      2774      2113 
20        11833      6293      4607      6235      7446      8074      6813 
21         5338      1256      1121      4637      2353      2392      1607 
22          262       205       209       310       250      1054       212 
23          222       179       197       253       217       897       182 
24          165       114       153       211       160       799       136 
25           95        78        91       144       108       722        80 
26           54        56        74       106        80       655        63 
27           37        22        29        86        34       550        30 
28           11        14        13        52        36       454        13 
29           10         9        11        47        24       393         8 
30           11        16        12        47        21       307        13 
31            8         8        10        32        20       263        10 
32            7         2         1        39        21       222         2 
33            9         4         6        20         8       195         6 
34            5         1         1        13         6       168         2 
35            3         2         2        14         5       150         0 
36            2         2         1        12         7       139         2 
37            1         2         3        14         9       136         3 
38            0         0         0        14         3       134         0 
39            1         1         0         7         7       126         1 
40            1         1         2        14         5       141         1 
41            4         2         2        14         2       136         2 
42            1         1         1        10         9       128         1 
43            0         0         0        11         4       122         0 
44            1         2         2        16        11       112         2 
45            2         0         1         6         2       102         0 
46            0         1         3         6         5        96         2 
47            1         1         2         8         3        88         1 
48            0         0         0        11         3        75         0 
49            1         1         1         6         3        67         1 
50            0         1         1         9         5        55         1 
51            3         0         0         5         1        55         0 
52            0         0         0         4         2        46         0 
53            0         0         0         3         2        33         0 
54            1         0         0         2         3        44         0 
55            0         0         0         1         0        33         0 
56            0         0         0         3         1        25         0 
57            0         0         0         1         2        31         0 
58            0         0         0         1         3        29         0 
