# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
1        391064    196665    193239    254069    276789    187634    203528 
2         20653    154734    141493     87412     58858    153880    132669 
3        573818      1749      1658       525       477      1352      1189 
4       1854752    518884   1247094   1164402   1516603    882205   1290390 
5        749387   2138630   1863086   1901897   1671839   2073928   1864080 
6         26103    561687    122879    166637     46124    274736     78732 
7         13930     15950      3790      4037      3138      5205      3639 
8         11493      2836      1648      1569      1102      1965      1473 
9         10330      2920      2260      1867      1758      2259      2031 
10        10498      1351      1303      1304      1255      1576      1507 
11         5871      1379      1421      1257      1243      1539      1497 
12         2692       463       450       325       315       477       441 
13          843       300       268       164       152       283       253 
14          418       177       161        82        70       135       124 
15          349       100        99        44        41        92        76 
16          307        69        71        52        49        74        75 
17          247        46        53        27        40        53        53 
18          164        21        35        11        13        22        25 
19          162        10         9         4         1        11        13 
20          154         3         2         2         1        12        13 
21          148         1         1         0         1         9         9 
22          117         0         1         1         0         7         9 
23          112         0         0         0         0        11         8 
24           97         0         1         1         0        11         9 
25           55         0         0         0         0        12        13 
26           28         1         2         1         1         8         7 
27           12         0         0         0         0         7         9 
28            6         0         0         0         0         8        12 
29            6         0         0         0         0         3         8 
30            3         1         1         1         1        10         7 
31            3         0         0         0         0         6         9 
32            1         0         0         0         0         4         5 
33            1         0         0         0         0         6         6 
34            2         0         0         0         0         3         3 
35            0         0         0         0         0         4         2 
36            0         0         0         0         0         5         4 
37            1         0         0         0         0         3         2 
38            0         0         0         0         0         2         3 
39            0         0         0         0         0         2         5 
40            1         0         0         0         0         7         2 
41            0         0         0         0         0         4         3 
42            0         1         1         1         1         4         2 
43            1         0         0         0         0         2         1 
44            0         0         0         0         0         0         2 
45            0         0         0         0         0         2         1 
46            1         0         0         0         0         1         3 
47            0         0         0         0         0         4         2 
48            0         0         0         0         0         2         2 
49            0         0         0         0         0         2         0 
50            0         0         0         0         0         2         0 
51            0         0         0         0         0         0         1 
52            0         0         0         0         0         1         0 
54            0         0         0         0         0         1         3 
55            0         0         0         0         0         1         3 
56            0         0         0         0         0         1         1 
57            0         0         0         0         0         2         0 
58            0         0         0         0         0         0         1 
59            0         0         0         0         0         1         2 
61            0         0         0         0         0         1         0 
62            0         0         0         0         0         2         2 
63            0         0         0         0         0         1         0 
64            0         0         0         0         0         1         3 
66            0         0         0         0         0         2         0 
67            0         0         0         0         0         0         2 
68            0         0         0         0         0         0         1 
69            0         0         0         0         0         0         1 
70            0         0         0         0         0         1         0 
71            0         0         0         0         0         1         1 
72            0         0         0         0         0         1         4 
73            0         0         0         0         0         2         0 
74            0         0         0         0         0         3         0 
75            0         0         0         0         0         0         3 
76            0         0         0         0         0         1         1 
77            0         0         0         0         0         3         0 
79            0         0         0         0         0         2         1 
