# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
0       3241376   3248717   3275548   3242907   3243600   3238963   3242948
10        39241     37715     37717     37324     37620     37739     37632
20          703       271       271       244       273       188       268
30            4         4         3         1         0         1         1
650          27        30        30        33        29        34        29
660         725       806       783       818       768       860       801
670        3233      3364      3345      3398      3315      3428      3311
680        2650      2519      2549      2494      2589      2430      2556
690         444       373       377       349       385       343       388
700          98        91        96        91        94        89        93
710          18        13        15        13        15        12        17
720           1         0         1         0         1         0         1
740           0         0         1         1         0         1         0
750           1         1         0         0         1         0         1
760           0         1         1         1         1         1         1
770           1         0         0         0         0         0         0
over:         0         0         0         0         0         0         0
count:  3288522   3293905   3320737   3287674   3288691   3284089   3288047
min:          0         0         0         0         0         0         0
avg:       1.60      1.59      1.58      1.59      1.59      1.59      1.59
max:        770       760       760       760       760       760       760
