round_index,slot,role,participant_id,arrival_offset_ms
0,122,component,2,0.097036
0,122,component,4,0.097036
0,122,component,1,0.104904
0,122,component,3,0.113010
0,122,component,5,0.130892
0,122,component,6,0.159979
0,122,component,7,0.160933
0,122,component,9,0.173807
0,122,component,11,0.176907
0,122,component,10,0.181913
0,122,component,8,0.202894
0,122,component,12,0.213861
0,122,component,13,0.234842
0,122,component,15,0.236034
0,122,component,14,0.244856
0,122,component,16,0.244856
0,122,component,19,0.275850
0,122,component,18,0.278950
0,122,component,22,0.299931
0,122,component,17,0.305891
0,122,component,20,0.305891
0,122,component,25,0.329971
0,122,component,21,0.332832
0,122,component,23,0.347853
0,122,component,24,0.347853
0,122,component,27,0.381947
0,122,component,28,0.382900
0,122,component,26,0.388861
0,122,component,29,0.396967
0,122,component,33,0.407934
0,122,component,30,0.417948
0,122,component,31,0.432968
0,122,component,36,0.443935
0,122,component,35,0.453949
0,122,component,38,0.453949
0,122,component,39,0.454903
0,122,component,40,0.468969
0,122,component,32,0.473022
0,122,component,34,0.476837
0,122,component,46,0.485897
0,122,component,44,0.504017
0,122,component,48,0.527859
0,122,component,37,0.552893
0,122,component,41,0.552893
0,122,component,47,0.552893
0,122,component,51,0.555038
0,122,component,49,0.561953
0,122,component,42,0.563860
0,122,component,43,0.563860
0,122,component,50,0.563860
0,122,component,45,0.564814
0,122,component,52,0.564814
0,122,component,55,0.574827
0,122,component,57,0.574827
0,122,component,58,0.588894
0,122,component,62,0.622034
0,122,component,64,0.633955
0,122,component,61,0.644922
0,122,component,56,0.645876
0,122,component,63,0.645876
0,122,component,53,0.646830
0,122,component,59,0.646830
0,122,component,69,0.650883
0,122,component,54,0.654936
0,122,component,60,0.655890
0,122,component,66,0.656843
0,122,component,70,0.658989
0,122,component,68,0.671864
0,122,component,67,0.672817
0,122,component,65,0.674009
0,122,component,73,0.679970
0,122,component,71,0.705957
0,122,component,72,0.710011
0,122,component,75,0.710011
0,122,component,77,0.710964
0,122,component,76,0.720978
0,122,component,74,0.723839
0,122,component,78,0.739813
0,122,component,79,0.746965
0,122,component,84,0.746965
0,122,component,82,0.758886
0,122,component,81,0.761032
0,122,component,80,0.769854
0,122,component,83,0.775814
0,122,component,87,0.777960
0,122,component,88,0.779867
0,122,component,85,0.797987
0,122,component,89,0.803947
0,122,component,86,0.811815
0,122,component,90,0.811815
0,122,proxy,7,95.508814
0,122,proxy,2,95.568895
0,122,proxy,8,95.901012
0,122,proxy,25,95.945835
0,122,proxy,30,95.979929
0,122,proxy,15,96.292973
0,122,proxy,9,96.293926
0,122,proxy,38,96.293926
0,122,proxy,5,96.295834
0,122,proxy,33,96.295834
0,122,proxy,23,96.313953
0,122,proxy,37,96.347809
0,122,proxy,6,96.477032
0,122,proxy,39,96.508026
0,122,proxy,17,96.607924
0,122,proxy,27,96.650839
0,122,proxy,31,97.277880
0,122,proxy,26,97.507000
0,122,proxy,29,101.037025
0,122,proxy,0,181.452036
0,122,proxy,14,181.927919
0,122,proxy,11,182.191849
0,122,proxy,18,182.593822
0,122,proxy,19,182.703972
0,122,proxy,12,182.734966
0,122,proxy,21,182.790041
0,122,proxy,3,183.028936
0,122,proxy,13,183.087826
