Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.5
[10.4.1.5:2112] [Connected] connection established
seq=0 rtt=13.04ms rd=-15.62ms sd=28.66ms ipdv=n/a
seq=1 rtt=15.06ms rd=-15.06ms sd=30.12ms ipdv=2.02ms
seq=2 rtt=23.53ms rd=-15.56ms sd=39.09ms ipdv=8.47ms
seq=3 rtt=37.39ms rd=-14.78ms sd=52.17ms ipdv=13.86ms
seq=4 rtt=43.3ms rd=-15.52ms sd=58.82ms ipdv=5.91ms
seq=5 rtt=35.69ms rd=-15.5ms sd=51.18ms ipdv=7.61ms
seq=6 rtt=37.94ms rd=-15.25ms sd=53.19ms ipdv=2.25ms
seq=7 rtt=29.41ms rd=-15.87ms sd=45.28ms ipdv=8.53ms
seq=8 rtt=26.9ms rd=-14ms sd=40.9ms ipdv=2.51ms
seq=9 rtt=25.17ms rd=-14.78ms sd=39.95ms ipdv=1.73ms
seq=10 rtt=20.77ms rd=-14.13ms sd=34.9ms ipdv=4.4ms
seq=11 rtt=28.46ms rd=-14.11ms sd=42.57ms ipdv=7.69ms
seq=12 rtt=40.88ms rd=-14.52ms sd=55.4ms ipdv=12.42ms
seq=13 rtt=34.92ms rd=-14.94ms sd=49.86ms ipdv=5.96ms
seq=14 rtt=25.25ms rd=-13.65ms sd=38.9ms ipdv=9.67ms
seq=15 rtt=44.23ms rd=-12.85ms sd=57.09ms ipdv=18.98ms
seq=16 rtt=31.23ms rd=-13.63ms sd=44.86ms ipdv=13.01ms
seq=17 rtt=20.1ms rd=-13.15ms sd=33.25ms ipdv=11.12ms
seq=18 rtt=18.21ms rd=-13.32ms sd=31.52ms ipdv=1.9ms
seq=19 rtt=37.32ms rd=-13.63ms sd=50.95ms ipdv=19.11ms
seq=20 rtt=29.31ms rd=-12.78ms sd=42.08ms ipdv=8.01ms
seq=21 rtt=32.84ms rd=-13.46ms sd=46.3ms ipdv=3.54ms
seq=22 rtt=18.66ms rd=-12.96ms sd=31.62ms ipdv=14.19ms
seq=23 rtt=34.94ms rd=-13.26ms sd=48.2ms ipdv=16.28ms
seq=24 rtt=20.09ms rd=-13.5ms sd=33.58ms ipdv=14.85ms
seq=25 rtt=43.52ms rd=-13.99ms sd=57.52ms ipdv=23.44ms
seq=26 rtt=33.36ms rd=-12.71ms sd=46.06ms ipdv=10.17ms
seq=27 rtt=19.66ms rd=-13.25ms sd=32.91ms ipdv=13.7ms
seq=28 rtt=44.59ms rd=-13.36ms sd=57.95ms ipdv=24.94ms
seq=29 rtt=36.71ms rd=-12.78ms sd=49.49ms ipdv=7.88ms
seq=30 rtt=35.14ms rd=-13.12ms sd=48.26ms ipdv=1.57ms
seq=31 rtt=33.45ms rd=-12.06ms sd=45.51ms ipdv=1.69ms
seq=32 rtt=22.72ms rd=-12.9ms sd=35.62ms ipdv=10.73ms
seq=33 rtt=17.59ms rd=-12.4ms sd=29.98ms ipdv=5.13ms
seq=34 rtt=24.42ms rd=-12.96ms sd=37.38ms ipdv=6.84ms
seq=35 rtt=16.42ms rd=-12.38ms sd=28.79ms ipdv=8.01ms
seq=36 rtt=17.23ms rd=-12.94ms sd=30.18ms ipdv=818µs
seq=37 rtt=21.56ms rd=-12.13ms sd=33.68ms ipdv=4.32ms
seq=38 rtt=52.99ms rd=-12.11ms sd=65.09ms ipdv=31.43ms
seq=39 rtt=30.21ms rd=-11.94ms sd=42.14ms ipdv=22.78ms
seq=40 rtt=35.32ms rd=-12.55ms sd=47.87ms ipdv=5.12ms
seq=41 rtt=32.5ms rd=-12.24ms sd=44.74ms ipdv=2.83ms
seq=42 rtt=30.09ms rd=-12.73ms sd=42.82ms ipdv=2.4ms
seq=43 rtt=37.55ms rd=-12.39ms sd=49.94ms ipdv=7.46ms
seq=44 rtt=28.45ms rd=-12.4ms sd=40.86ms ipdv=9.1ms
seq=45 rtt=23.5ms rd=-12.19ms sd=35.69ms ipdv=4.95ms
seq=46 rtt=18.57ms rd=-12.72ms sd=31.29ms ipdv=4.93ms
seq=47 rtt=24.44ms rd=-12.1ms sd=36.54ms ipdv=5.86ms
seq=48 rtt=25.95ms rd=-12.39ms sd=38.34ms ipdv=1.52ms
seq=49 rtt=16.95ms rd=-11.97ms sd=28.93ms ipdv=9ms
seq=50 rtt=29.95ms rd=-12.48ms sd=42.43ms ipdv=13ms
seq=51 rtt=43.87ms rd=-12.68ms sd=56.56ms ipdv=13.92ms
seq=52 rtt=41.64ms rd=-12.01ms sd=53.66ms ipdv=2.23ms
seq=53 rtt=22.03ms rd=-11.91ms sd=33.95ms ipdv=19.61ms
seq=54 rtt=39.72ms rd=-11.74ms sd=51.46ms ipdv=17.69ms
seq=55 rtt=25.65ms rd=-12.22ms sd=37.87ms ipdv=14.07ms
seq=56 rtt=21.96ms rd=-11.7ms sd=33.66ms ipdv=3.69ms
seq=57 rtt=37.83ms rd=-11.63ms sd=49.45ms ipdv=15.86ms
seq=58 rtt=27.35ms rd=-12.37ms sd=39.72ms ipdv=10.48ms
seq=59 rtt=43.98ms rd=-12.58ms sd=56.57ms ipdv=16.64ms
seq=60 rtt=34.68ms rd=-11.71ms sd=46.38ms ipdv=9.31ms
seq=61 rtt=27.94ms rd=-12.26ms sd=40.19ms ipdv=6.74ms
seq=62 rtt=20.85ms rd=-11.83ms sd=32.68ms ipdv=7.09ms
seq=63 rtt=41.57ms rd=-10.91ms sd=52.47ms ipdv=20.72ms
seq=64 rtt=27.17ms rd=-12.06ms sd=39.23ms ipdv=14.4ms
seq=65 rtt=44.22ms rd=-12.71ms sd=56.93ms ipdv=17.05ms
seq=66 rtt=32.82ms rd=-11.6ms sd=44.42ms ipdv=11.41ms
seq=67 rtt=19.24ms rd=-12.02ms sd=31.26ms ipdv=13.58ms
seq=68 rtt=40.4ms rd=-12.18ms sd=52.57ms ipdv=21.16ms
seq=69 rtt=29.71ms rd=-11.5ms sd=41.21ms ipdv=10.69ms
seq=70 rtt=19.12ms rd=-11.89ms sd=31.01ms ipdv=10.59ms
seq=71 rtt=39.97ms rd=-11.96ms sd=51.93ms ipdv=20.85ms
seq=72 rtt=23.81ms rd=-11.47ms sd=35.28ms ipdv=16.15ms
seq=73 rtt=21.22ms rd=-11.91ms sd=33.13ms ipdv=2.59ms
seq=74 rtt=41.44ms rd=-12.12ms sd=53.56ms ipdv=20.22ms
seq=75 rtt=28.36ms rd=-11.43ms sd=39.79ms ipdv=13.08ms
seq=76 rtt=24.02ms rd=-11.9ms sd=35.92ms ipdv=4.34ms
seq=77 rtt=17.4ms rd=-11.46ms sd=28.86ms ipdv=6.61ms
seq=78 rtt=20.58ms rd=-11.74ms sd=32.32ms ipdv=3.18ms
seq=79 rtt=33.56ms rd=-11.22ms sd=44.79ms ipdv=12.98ms
seq=80 rtt=17.11ms rd=-11.88ms sd=28.99ms ipdv=16.45ms
seq=81 rtt=40.84ms rd=-12.14ms sd=52.97ms ipdv=23.72ms
seq=82 rtt=25.83ms rd=-10.77ms sd=36.6ms ipdv=15.01ms
seq=83 rtt=23.86ms rd=-11.77ms sd=35.63ms ipdv=1.97ms
seq=84 rtt=18.82ms rd=-11.34ms sd=30.16ms ipdv=5.04ms
seq=85 rtt=21.58ms rd=-12.18ms sd=33.76ms ipdv=2.76ms
seq=86 rtt=43.46ms rd=-12.19ms sd=55.65ms ipdv=21.88ms
seq=87 rtt=30.03ms rd=-10.92ms sd=40.95ms ipdv=13.43ms
seq=88 rtt=30.85ms rd=-11.94ms sd=42.78ms ipdv=819µs
seq=89 rtt=20.27ms rd=-11.02ms sd=31.28ms ipdv=10.58ms
seq=90 rtt=16.78ms rd=-11.62ms sd=28.41ms ipdv=3.48ms
seq=91 rtt=38.25ms rd=-11.91ms sd=50.16ms ipdv=21.47ms
seq=92 rtt=16.77ms rd=-11.47ms sd=28.24ms ipdv=21.48ms
seq=93 rtt=34.89ms rd=-11.76ms sd=46.65ms ipdv=18.12ms
seq=94 rtt=36.57ms rd=-11.45ms sd=48.02ms ipdv=1.68ms
seq=95 rtt=31.88ms rd=-11.76ms sd=43.64ms ipdv=4.69ms
seq=96 rtt=17.36ms rd=-11.47ms sd=28.82ms ipdv=14.53ms
seq=97 rtt=193.5ms rd=138.5ms sd=55ms ipdv=176.1ms
seq=98 rtt=32.71ms rd=-11.88ms sd=44.59ms ipdv=160.8ms
seq=99 rtt=24.15ms rd=-11.36ms sd=35.51ms ipdv=8.56ms
seq=100 rtt=196.5ms rd=142.7ms sd=53.82ms ipdv=172.4ms
seq=101 rtt=38.65ms rd=-11.86ms sd=50.51ms ipdv=157.9ms
seq=102 rtt=26.12ms rd=-11.23ms sd=37.29ms ipdv=12.52ms
seq=103 rtt=45.74ms rd=-10.77ms sd=56.51ms ipdv=19.61ms
seq=104 rtt=32.73ms rd=-11.65ms sd=44.37ms ipdv=13.01ms
seq=105 rtt=23.2ms rd=-10.55ms sd=33.75ms ipdv=9.53ms
