Component 1 is at IP 10.1.2.1
Running global slot checker on 10.4.1.1:6000
Error: Numerical argument out of domain
Starting component 1
Elapsed: 1122531, Dilation factor: 1.12
Elapsed: 1130061, Dilation factor: 1.13
Elapsed: 1121856, Dilation factor: 1.12
Elapsed: 1125415, Dilation factor: 1.13
Elapsed: 1127487, Dilation factor: 1.13
Elapsed: 1131305, Dilation factor: 1.13
Elapsed: 1106680, Dilation factor: 1.11
Elapsed: 1116157, Dilation factor: 1.12
Elapsed: 1124417, Dilation factor: 1.12
Elapsed: 1125792, Dilation factor: 1.13
Elapsed: 1118987, Dilation factor: 1.12
Elapsed: 1128594, Dilation factor: 1.13
Elapsed: 1124916, Dilation factor: 1.12
Elapsed: 1124092, Dilation factor: 1.12
Elapsed: 1128415, Dilation factor: 1.13
Elapsed: 1129342, Dilation factor: 1.13
Elapsed: 1126352, Dilation factor: 1.13
New proxy connected: ID 0, IP 10.3.1.1:4322
Elapsed: 1117274, Dilation factor: 1.12
Elapsed: 1106433, Dilation factor: 1.11
Elapsed: 1096302, Dilation factor: 1.10
Elapsed: 1107421, Dilation factor: 1.11
Elapsed: 1108512, Dilation factor: 1.11
Elapsed: 1106708, Dilation factor: 1.11
Elapsed: 1107649, Dilation factor: 1.11
Elapsed: 1109758, Dilation factor: 1.11
Elapsed: 1108060, Dilation factor: 1.11
Elapsed: 1107700, Dilation factor: 1.11
Elapsed: 1106220, Dilation factor: 1.11
Elapsed: 1104212, Dilation factor: 1.10
Elapsed: 1102308, Dilation factor: 1.10
Elapsed: 1095434, Dilation factor: 1.10
Elapsed: 1108059, Dilation factor: 1.11
Elapsed: 1103227, Dilation factor: 1.10
Elapsed: 1100069, Dilation factor: 1.10
Elapsed: 1105831, Dilation factor: 1.11
Elapsed: 1109925, Dilation factor: 1.11
Elapsed: 1088191, Dilation factor: 1.09
Elapsed: 1089296, Dilation factor: 1.09
Elapsed: 1059206, Dilation factor: 1.06
Elapsed: 1189780, Dilation factor: 1.19
Elapsed: 1338406, Dilation factor: 1.34
Elapsed: 1181325, Dilation factor: 1.18
Elapsed: 1067320, Dilation factor: 1.07
Elapsed: 1068756, Dilation factor: 1.07
Elapsed: 1084680, Dilation factor: 1.08
Elapsed: 1087832, Dilation factor: 1.09
Elapsed: 3811590, Dilation factor: 3.81
Elapsed: 6767338, Dilation factor: 6.77
Elapsed: 9576147, Dilation factor: 9.58
Elapsed: 6849549, Dilation factor: 6.85
