Data plane is up
Running irtt
UE IP is 10.45.0.10
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=18.25ms rd=-1.34s sd=1.36s ipdv=n/a
seq=1 rtt=17.95ms rd=-1.4s sd=1.42s ipdv=297µs
seq=2 rtt=17.8ms rd=-1.45s sd=1.47s ipdv=151µs
seq=3 rtt=17.95ms rd=-1.5s sd=1.52s ipdv=150µs
seq=4 rtt=17.65ms rd=-1.54s sd=1.56s ipdv=299µs
seq=5 rtt=17.8ms rd=-1.59s sd=1.61s ipdv=149µs
seq=6 rtt=18.55ms rd=-1.65s sd=1.67s ipdv=750µs
seq=7 rtt=17.75ms rd=-1.7s sd=1.72s ipdv=801µs
seq=8 rtt=17.8ms rd=-1.76s sd=1.77s ipdv=50.8µs
seq=9 rtt=18.55ms rd=-1.81s sd=1.83s ipdv=750µs
seq=10 rtt=18.85ms rd=-1.86s sd=1.88s ipdv=300µs
seq=11 rtt=18.8ms rd=-1.91s sd=1.93s ipdv=50.3µs
seq=12 rtt=18.8ms rd=-1.96s sd=1.98s ipdv=950ns
seq=13 rtt=18.9ms rd=-2.02s sd=2.04s ipdv=99.4µs
seq=14 rtt=18.5ms rd=-2.07s sd=2.09s ipdv=400µs
seq=15 rtt=18.74ms rd=-2.12s sd=2.14s ipdv=246µs
seq=16 rtt=18.85ms rd=-2.17s sd=2.19s ipdv=106µs
seq=17 rtt=18.7ms rd=-2.22s sd=2.24s ipdv=152µs
seq=18 rtt=18.8ms rd=-2.28s sd=2.3s ipdv=100µs
seq=19 rtt=18.8ms rd=-2.33s sd=2.35s ipdv=446ns
seq=20 rtt=19.45ms rd=-2.35s sd=2.37s ipdv=649µs
seq=21 rtt=19ms rd=-2.4s sd=2.42s ipdv=449µs
seq=22 rtt=19.9ms rd=-2.53s sd=2.55s ipdv=906µs
seq=23 rtt=19.51ms rd=-2.7s sd=2.72s ipdv=398µs
seq=24 rtt=19.55ms rd=-2.88s sd=2.9s ipdv=48.2µs
seq=25 rtt=19.6ms rd=-3.06s sd=3.08s ipdv=49.4µs
seq=26 rtt=20.65ms rd=-3.23s sd=3.25s ipdv=1.05ms
seq=27 rtt=20.6ms rd=-3.4s sd=3.42s ipdv=49.9µs
seq=28 rtt=20.66ms rd=-3.58s sd=3.6s ipdv=51.1µs
seq=29 rtt=20.7ms rd=-3.75s sd=3.77s ipdv=49.5µs
seq=30 rtt=20.9ms rd=-3.85s sd=3.87s ipdv=194µs
seq=31 rtt=20.7ms rd=-3.89s sd=3.91s ipdv=200µs
seq=32 rtt=20.6ms rd=-3.93s sd=3.95s ipdv=99.9µs
seq=33 rtt=20.75ms rd=-3.97s sd=3.99s ipdv=150µs
seq=34 rtt=20.75ms rd=-4.02s sd=4.04s ipdv=51ns
seq=35 rtt=20.7ms rd=-4.06s sd=4.08s ipdv=50µs
seq=36 rtt=21.65ms rd=-4.1s sd=4.12s ipdv=950µs
seq=37 rtt=21.85ms rd=-4.15s sd=4.17s ipdv=200µs
