Component 1 is at IP 10.1.2.1
Running global slot checker on 10.4.1.1:6000
Error: Numerical argument out of domain
Starting component 1
Elapsed: 1108010, Dilation factor: 1.11
New proxy connected: ID 0, IP 10.3.1.1:4322
Elapsed: 1129631, Dilation factor: 1.13
Elapsed: 1106093, Dilation factor: 1.11
Elapsed: 1103045, Dilation factor: 1.10
Elapsed: 1103959, Dilation factor: 1.10
Elapsed: 1109081, Dilation factor: 1.11
Elapsed: 1108579, Dilation factor: 1.11
Elapsed: 1267416, Dilation factor: 1.27
Elapsed: 1309769, Dilation factor: 1.31
Elapsed: 1308103, Dilation factor: 1.31
Elapsed: 1109463, Dilation factor: 1.11
Elapsed: 1090229, Dilation factor: 1.09
Elapsed: 1089211, Dilation factor: 1.09
Elapsed: 1179889, Dilation factor: 1.18
Elapsed: 1352920, Dilation factor: 1.35
Elapsed: 1114655, Dilation factor: 1.11
Elapsed: 1090612, Dilation factor: 1.09
Elapsed: 1090181, Dilation factor: 1.09
Elapsed: 1088936, Dilation factor: 1.09
Elapsed: 1065974, Dilation factor: 1.07
Elapsed: 1085004, Dilation factor: 1.09
Elapsed: 1062873, Dilation factor: 1.06
Elapsed: 1050039, Dilation factor: 1.05
Elapsed: 1083295, Dilation factor: 1.08
Elapsed: 1090157, Dilation factor: 1.09
Elapsed: 1090571, Dilation factor: 1.09
Elapsed: 1089138, Dilation factor: 1.09
Elapsed: 1095371, Dilation factor: 1.10
Elapsed: 1070842, Dilation factor: 1.07
Elapsed: 1170498, Dilation factor: 1.17
Elapsed: 1113097, Dilation factor: 1.11
Elapsed: 1089441, Dilation factor: 1.09
Elapsed: 1193256, Dilation factor: 1.19
Elapsed: 1369146, Dilation factor: 1.37
Elapsed: 1369083, Dilation factor: 1.37
Elapsed: 1208312, Dilation factor: 1.21
Elapsed: 1353828, Dilation factor: 1.35
Elapsed: 1358406, Dilation factor: 1.36
Elapsed: 1360140, Dilation factor: 1.36
Elapsed: 1353040, Dilation factor: 1.35
Elapsed: 1113417, Dilation factor: 1.11
Elapsed: 1090311, Dilation factor: 1.09
Elapsed: 1090424, Dilation factor: 1.09
Elapsed: 1090230, Dilation factor: 1.09
Elapsed: 1088355, Dilation factor: 1.09
Elapsed: 1064715, Dilation factor: 1.06
Elapsed: 1051588, Dilation factor: 1.05
Elapsed: 1081597, Dilation factor: 1.08
Elapsed: 1084598, Dilation factor: 1.08
Elapsed: 1082938, Dilation factor: 1.08
Elapsed: 1089807, Dilation factor: 1.09
Elapsed: 1089312, Dilation factor: 1.09
Elapsed: 1063070, Dilation factor: 1.06
Elapsed: 1166186, Dilation factor: 1.17
Elapsed: 1364356, Dilation factor: 1.36
Elapsed: 1114202, Dilation factor: 1.11
Elapsed: 1090093, Dilation factor: 1.09
Elapsed: 1076038, Dilation factor: 1.08
Elapsed: 1089118, Dilation factor: 1.09
Elapsed: 1099242, Dilation factor: 1.10
Elapsed: 1090339, Dilation factor: 1.09
Elapsed: 1090020, Dilation factor: 1.09
Elapsed: 1089363, Dilation factor: 1.09
Elapsed: 1183773, Dilation factor: 1.18
Elapsed: 1363739, Dilation factor: 1.36
Elapsed: 1109113, Dilation factor: 1.11
Elapsed: 1089926, Dilation factor: 1.09
Elapsed: 1090459, Dilation factor: 1.09
Elapsed: 1083891, Dilation factor: 1.08
Elapsed: 1089233, Dilation factor: 1.09
Elapsed: 1071527, Dilation factor: 1.07
Elapsed: 1070332, Dilation factor: 1.07
Elapsed: 1087952, Dilation factor: 1.09
Elapsed: 1083941, Dilation factor: 1.08
Elapsed: 1083493, Dilation factor: 1.08
Elapsed: 1185083, Dilation factor: 1.19
Elapsed: 1354884, Dilation factor: 1.35
Elapsed: 1354049, Dilation factor: 1.35
Elapsed: 1204696, Dilation factor: 1.20
Elapsed: 1072887, Dilation factor: 1.07
Elapsed: 1176679, Dilation factor: 1.18
Elapsed: 1358255, Dilation factor: 1.36
Elapsed: 1369545, Dilation factor: 1.37
Elapsed: 1366963, Dilation factor: 1.37
Elapsed: 1354523, Dilation factor: 1.35
