Component 1 is at IP 10.1.2.1
Running global slot checker on 10.4.1.1:6000
Error: Numerical argument out of domain
Starting component 1
Elapsed: 1122970, Dilation factor: 1.12
New proxy connected: ID 0, IP 10.3.1.1:4322
Elapsed: 1125712, Dilation factor: 1.13
Elapsed: 1096599, Dilation factor: 1.10
Elapsed: 1089161, Dilation factor: 1.09
Elapsed: 1112535, Dilation factor: 1.11
Elapsed: 1111465, Dilation factor: 1.11
Elapsed: 1109275, Dilation factor: 1.11
Elapsed: 1112859, Dilation factor: 1.11
Elapsed: 1114868, Dilation factor: 1.11
Elapsed: 1191121, Dilation factor: 1.19
Elapsed: 1372691, Dilation factor: 1.37
Elapsed: 1375740, Dilation factor: 1.38
Elapsed: 1360992, Dilation factor: 1.36
Elapsed: 1364451, Dilation factor: 1.36
Elapsed: 1362666, Dilation factor: 1.36
Elapsed: 1371482, Dilation factor: 1.37
Elapsed: 1365339, Dilation factor: 1.37
Elapsed: 1378322, Dilation factor: 1.38
Elapsed: 1350471, Dilation factor: 1.35
Elapsed: 1366570, Dilation factor: 1.37
Elapsed: 3719900, Dilation factor: 3.72
Elapsed: 3815799, Dilation factor: 3.82
Elapsed: 3864241, Dilation factor: 3.86
Elapsed: 3736515, Dilation factor: 3.74
Elapsed: 3857577, Dilation factor: 3.86
Elapsed: 5044033, Dilation factor: 5.04
Elapsed: 3823905, Dilation factor: 3.82
Elapsed: 3924469, Dilation factor: 3.92
Elapsed: 3880000, Dilation factor: 3.88
Elapsed: 3819167, Dilation factor: 3.82
Elapsed: 3866144, Dilation factor: 3.87
Elapsed: 3754309, Dilation factor: 3.75
Elapsed: 3855244, Dilation factor: 3.86
Elapsed: 3860389, Dilation factor: 3.86
Elapsed: 5109194, Dilation factor: 5.11
Elapsed: 3867537, Dilation factor: 3.87
Elapsed: 3828824, Dilation factor: 3.83
Elapsed: 3778763, Dilation factor: 3.78
Elapsed: 3906973, Dilation factor: 3.91
Elapsed: 3903109, Dilation factor: 3.90
Elapsed: 3861771, Dilation factor: 3.86
Elapsed: 3865534, Dilation factor: 3.87
Elapsed: 5075649, Dilation factor: 5.08
Elapsed: 3875302, Dilation factor: 3.88
Elapsed: 3798266, Dilation factor: 3.80
Elapsed: 3890154, Dilation factor: 3.89
Elapsed: 3875333, Dilation factor: 3.88
Elapsed: 3879255, Dilation factor: 3.88
Elapsed: 3867025, Dilation factor: 3.87
Elapsed: 5127392, Dilation factor: 5.13
Elapsed: 3884495, Dilation factor: 3.88
Elapsed: 3876096, Dilation factor: 3.88
Elapsed: 3853590, Dilation factor: 3.85
Elapsed: 3890379, Dilation factor: 3.89
Elapsed: 3865047, Dilation factor: 3.87
Elapsed: 5159474, Dilation factor: 5.16
Elapsed: 3906032, Dilation factor: 3.91
Elapsed: 3876187, Dilation factor: 3.88
Elapsed: 3900186, Dilation factor: 3.90
Elapsed: 3863826, Dilation factor: 3.86
Elapsed: 3882054, Dilation factor: 3.88
Elapsed: 5107107, Dilation factor: 5.11
Elapsed: 3860372, Dilation factor: 3.86
Elapsed: 3861615, Dilation factor: 3.86
Elapsed: 3876100, Dilation factor: 3.88
Elapsed: 3913468, Dilation factor: 3.91
Elapsed: 3860318, Dilation factor: 3.86
Elapsed: 5150862, Dilation factor: 5.15
Elapsed: 3870118, Dilation factor: 3.87
Elapsed: 3833494, Dilation factor: 3.83
Elapsed: 3883334, Dilation factor: 3.88
Elapsed: 3888405, Dilation factor: 3.89
Elapsed: 3900892, Dilation factor: 3.90
Elapsed: 3889108, Dilation factor: 3.89
Elapsed: 5109095, Dilation factor: 5.11
Elapsed: 3874826, Dilation factor: 3.87
Elapsed: 3913448, Dilation factor: 3.91
Elapsed: 3885286, Dilation factor: 3.89
Elapsed: 3872313, Dilation factor: 3.87
Elapsed: 5185136, Dilation factor: 5.19
Elapsed: 3899445, Dilation factor: 3.90
Elapsed: 3885521, Dilation factor: 3.89
Elapsed: 3902421, Dilation factor: 3.90
Elapsed: 3820531, Dilation factor: 3.82
Elapsed: 3876818, Dilation factor: 3.88
Elapsed: 3848574, Dilation factor: 3.85
Elapsed: 5146842, Dilation factor: 5.15
Elapsed: 3875034, Dilation factor: 3.88
Elapsed: 3860562, Dilation factor: 3.86
Elapsed: 3803500, Dilation factor: 3.80
Elapsed: 3906883, Dilation factor: 3.91
Elapsed: 3878363, Dilation factor: 3.88
Elapsed: 3869799, Dilation factor: 3.87
Elapsed: 5151065, Dilation factor: 5.15
Elapsed: 3897470, Dilation factor: 3.90
Elapsed: 3868412, Dilation factor: 3.87
Elapsed: 3851891, Dilation factor: 3.85
Elapsed: 3827754, Dilation factor: 3.83
Elapsed: 3894013, Dilation factor: 3.89
Elapsed: 5129012, Dilation factor: 5.13
Elapsed: 3871880, Dilation factor: 3.87
Elapsed: 3873359, Dilation factor: 3.87
Elapsed: 3862461, Dilation factor: 3.86
Elapsed: 3872602, Dilation factor: 3.87
Elapsed: 3874950, Dilation factor: 3.87
Elapsed: 5162085, Dilation factor: 5.16
Elapsed: 3878107, Dilation factor: 3.88
Elapsed: 3861339, Dilation factor: 3.86
Elapsed: 3873559, Dilation factor: 3.87
Elapsed: 3885509, Dilation factor: 3.89
Elapsed: 3878296, Dilation factor: 3.88
Elapsed: 5147698, Dilation factor: 5.15
Elapsed: 3870798, Dilation factor: 3.87
Elapsed: 3808416, Dilation factor: 3.81
Elapsed: 3853455, Dilation factor: 3.85
Elapsed: 3823839, Dilation factor: 3.82
Elapsed: 3883637, Dilation factor: 3.88
Elapsed: 3877811, Dilation factor: 3.88
Elapsed: 5103747, Dilation factor: 5.10
Elapsed: 3905018, Dilation factor: 3.91
Elapsed: 3815120, Dilation factor: 3.82
Elapsed: 3874460, Dilation factor: 3.87
Elapsed: 3840753, Dilation factor: 3.84
Elapsed: 3827717, Dilation factor: 3.83
Elapsed: 3865395, Dilation factor: 3.87
Elapsed: 3898991, Dilation factor: 3.90
Elapsed: 5165634, Dilation factor: 5.17
Elapsed: 3855956, Dilation factor: 3.86
Elapsed: 3888188, Dilation factor: 3.89
Elapsed: 3869374, Dilation factor: 3.87
Elapsed: 3888882, Dilation factor: 3.89
Elapsed: 3879324, Dilation factor: 3.88
Elapsed: 5184549, Dilation factor: 5.18
Elapsed: 3810821, Dilation factor: 3.81
Elapsed: 3897167, Dilation factor: 3.90
Elapsed: 3870285, Dilation factor: 3.87
Elapsed: 3871037, Dilation factor: 3.87
