Elapsed: 1153337, Dilation factor: 1.15
Elapsed: 1164743, Dilation factor: 1.16
Elapsed: 1174175, Dilation factor: 1.17
Elapsed: 1176450, Dilation factor: 1.18
Elapsed: 1173371, Dilation factor: 1.17
Elapsed: 1180686, Dilation factor: 1.18
Elapsed: 1176602, Dilation factor: 1.18
Elapsed: 1178747, Dilation factor: 1.18
Elapsed: 1177734, Dilation factor: 1.18
Elapsed: 1175453, Dilation factor: 1.18
Elapsed: 1176537, Dilation factor: 1.18
Elapsed: 1172952, Dilation factor: 1.17
Elapsed: 1163883, Dilation factor: 1.16
Elapsed: 1149184, Dilation factor: 1.15
Elapsed: 1176742, Dilation factor: 1.18
Elapsed: 1169626, Dilation factor: 1.17
Elapsed: 1165408, Dilation factor: 1.17
Elapsed: 1173347, Dilation factor: 1.17
Elapsed: 1147472, Dilation factor: 1.15
Elapsed: 1154599, Dilation factor: 1.15
Elapsed: 1167378, Dilation factor: 1.17
Elapsed: 1157400, Dilation factor: 1.16
Elapsed: 1178178, Dilation factor: 1.18
Elapsed: 1174468, Dilation factor: 1.17
Elapsed: 1182551, Dilation factor: 1.18
Elapsed: 1175675, Dilation factor: 1.18
Elapsed: 1150425, Dilation factor: 1.15
Elapsed: 1170214, Dilation factor: 1.17
Elapsed: 1165626, Dilation factor: 1.17
Elapsed: 1150577, Dilation factor: 1.15
Elapsed: 1176945, Dilation factor: 1.18
Elapsed: 1153410, Dilation factor: 1.15
Elapsed: 1168217, Dilation factor: 1.17
Elapsed: 1170438, Dilation factor: 1.17
Elapsed: 1177122, Dilation factor: 1.18
Elapsed: 1174561, Dilation factor: 1.17
Elapsed: 1160321, Dilation factor: 1.16
Elapsed: 1157684, Dilation factor: 1.16
Elapsed: 1160141, Dilation factor: 1.16
Elapsed: 1163541, Dilation factor: 1.16
Elapsed: 1159461, Dilation factor: 1.16
Elapsed: 1170572, Dilation factor: 1.17
Elapsed: 1177577, Dilation factor: 1.18
Elapsed: 1225277, Dilation factor: 1.23
Elapsed: 1254044, Dilation factor: 1.25
Elapsed: 1167858, Dilation factor: 1.17
Elapsed: 1168382, Dilation factor: 1.17
Elapsed: 1177782, Dilation factor: 1.18
Elapsed: 1165027, Dilation factor: 1.17
Elapsed: 1166567, Dilation factor: 1.17
Elapsed: 1167188, Dilation factor: 1.17
