Elapsed: 40778572, Dilation factor: 40.78
Elapsed: 40774158, Dilation factor: 40.77
Elapsed: 40764822, Dilation factor: 40.76
Elapsed: 40773494, Dilation factor: 40.77
Elapsed: 40774078, Dilation factor: 40.77
Elapsed: 40769628, Dilation factor: 40.77
Elapsed: 40773019, Dilation factor: 40.77
Elapsed: 40771757, Dilation factor: 40.77
Elapsed: 40773739, Dilation factor: 40.77
Elapsed: 40774373, Dilation factor: 40.77
Elapsed: 40769413, Dilation factor: 40.77
Elapsed: 40771075, Dilation factor: 40.77
Elapsed: 40766694, Dilation factor: 40.77
Elapsed: 40769711, Dilation factor: 40.77
Elapsed: 40764813, Dilation factor: 40.76
Elapsed: 40772454, Dilation factor: 40.77
Elapsed: 40761850, Dilation factor: 40.76
Elapsed: 40763238, Dilation factor: 40.76
Elapsed: 40762815, Dilation factor: 40.76
Elapsed: 40759716, Dilation factor: 40.76
Elapsed: 40766057, Dilation factor: 40.77
Elapsed: 40770163, Dilation factor: 40.77
Elapsed: 40772274, Dilation factor: 40.77
Elapsed: 40770938, Dilation factor: 40.77
Elapsed: 40763497, Dilation factor: 40.76
Elapsed: 40772371, Dilation factor: 40.77
