seq=1594 rtt=10.02ms rd=-5m12s sd=5m12s ipdv=842µs
seq=1595 rtt=10.91ms rd=-5m30s sd=5m30s ipdv=888µs
seq=1596 rtt=12ms rd=-5m48s sd=5m48s ipdv=1.09ms
seq=1597 rtt=13.09ms rd=-6m7s sd=6m7s ipdv=1.09ms
seq=1598 rtt=14.83ms rd=-6m25s sd=6m25s ipdv=1.74ms
seq=1599 rtt=15.72ms rd=-6m43s sd=6m43s ipdv=891µs
seq=1600 rtt=17.9ms rd=-7m1s sd=7m1s ipdv=2.18ms
seq=1601 rtt=19.09ms rd=-7m20s sd=7m20s ipdv=1.19ms
seq=1602 rtt=19.78ms rd=-7m38s sd=7m38s ipdv=685µs
seq=1603 rtt=22.01ms rd=-7m56s sd=7m56s ipdv=2.23ms
seq=1604 rtt=22.95ms rd=-8m14s sd=8m14s ipdv=940µs
seq=1605 rtt=23.99ms rd=-8m33s sd=8m33s ipdv=1.04ms
seq=1606 rtt=25.18ms rd=-8m51s sd=8m51s ipdv=1.19ms
seq=1607 rtt=27.26ms rd=-9m9s sd=9m9s ipdv=2.08ms
seq=1608 rtt=28.85ms rd=-9m27s sd=9m27s ipdv=1.59ms
seq=1609 rtt=9.13ms rd=-9m45s sd=9m45s ipdv=19.72ms
seq=1610 rtt=8.78ms rd=-10m3s sd=10m3s ipdv=351µs
seq=1611 rtt=10.91ms rd=-10m21s sd=10m21s ipdv=2.13ms
seq=1612 rtt=12ms rd=-10m40s sd=10m40s ipdv=1.09ms
seq=1613 rtt=13.09ms rd=-10m58s sd=10m58s ipdv=1.09ms
seq=1614 rtt=14.18ms rd=-11m16s sd=11m16s ipdv=1.09ms
seq=1615 rtt=15.82ms rd=-11m34s sd=11m34s ipdv=1.64ms
seq=1616 rtt=16.81ms rd=-11m53s sd=11m53s ipdv=988µs
seq=1617 rtt=18.79ms rd=-12m11s sd=12m11s ipdv=1.98ms
seq=1618 rtt=20.38ms rd=-12m29s sd=12m29s ipdv=1.59ms
seq=1619 rtt=21.81ms rd=-12m47s sd=12m47s ipdv=1.43ms
seq=1620 rtt=22.9ms rd=-13m6s sd=13m6s ipdv=1.09ms
seq=1621 rtt=23.99ms rd=-13m24s sd=13m24s ipdv=1.09ms
seq=1622 rtt=25.08ms rd=-13m42s sd=13m42s ipdv=1.09ms
seq=1623 rtt=27.26ms rd=-14m0s sd=14m0s ipdv=2.18ms
seq=1624 rtt=27.76ms rd=-14m19s sd=14m19s ipdv=501µs
seq=1625 rtt=29.05ms rd=-14m37s sd=14m37s ipdv=1.29ms
seq=1626 rtt=9.38ms rd=-14m54s sd=14m54s ipdv=19.67ms
seq=1627 rtt=9.82ms rd=-17.6s sd=17.6s ipdv=443µs
seq=1628 rtt=12ms rd=-35.8s sd=35.9s ipdv=2.18ms
seq=1629 rtt=13.09ms rd=-54.1s sd=54.1s ipdv=1.09ms
seq=1630 rtt=14.18ms rd=-1m12s sd=1m12s ipdv=1.09ms
seq=1631 rtt=15.08ms rd=-1m31s sd=1m31s ipdv=900µs
seq=1632 rtt=17.06ms rd=-1m49s sd=1m49s ipdv=1.98ms
seq=1633 rtt=17.7ms rd=-2m7s sd=2m7s ipdv=639µs
seq=1634 rtt=19.93ms rd=-2m25s sd=2m25s ipdv=2.23ms
seq=1635 rtt=20.72ms rd=-2m44s sd=2m44s ipdv=792µs
seq=1636 rtt=21.81ms rd=-3m2s sd=3m2s ipdv=1.09ms
seq=1637 rtt=22.9ms rd=-3m20s sd=3m20s ipdv=1.09ms
seq=1638 rtt=25.08ms rd=-3m38s sd=3m38s ipdv=2.18ms
seq=1639 rtt=26.17ms rd=-3m57s sd=3m57s ipdv=1.09ms
seq=1640 rtt=27.26ms rd=-4m15s sd=4m15s ipdv=1.09ms
seq=1641 rtt=28.8ms rd=-4m33s sd=4m33s ipdv=1.55ms
seq=1642 rtt=9.43ms rd=-4m51s sd=4m51s ipdv=19.37ms
seq=1643 rtt=9.83ms rd=-5m9s sd=5m9s ipdv=394µs
seq=1644 rtt=10.91ms rd=-5m27s sd=5m27s ipdv=1.09ms
seq=1645 rtt=12ms rd=-5m45s sd=5m45s ipdv=1.09ms
seq=1646 rtt=13.09ms rd=-6m4s sd=6m4s ipdv=1.09ms
seq=1647 rtt=14.88ms rd=-6m22s sd=6m22s ipdv=1.79ms
seq=1648 rtt=15.77ms rd=-6m40s sd=6m40s ipdv=890µs
seq=1649 rtt=17.8ms rd=-6m58s sd=6m58s ipdv=2.03ms
